name gnina_score gnina_score_min smina_score_min min_rmsd 
HVSAMFCUPOHBPN-UHFFFAOYSA-N-P44-P44-P59-607684 5.366 5.681 -6.284 1.126
IZXMEWITMVTTLQ-UHFFFAOYSA-N-P44-P44-P59-607684 5.066 5.009 -6.030 0.582
PMSVXZXTFDGQCL-UHFFFAOYSA-N-P59-P44-P59-607684 5.217 5.361 -6.273 2.024
LCBUFWZYDUDRBM-UHFFFAOYSA-N-P59-P44-P59-607684 5.030 5.066 -4.274 0.809
JURPZKXQWWKHEN-UHFFFAOYSA-N-P59-P44-P59-607684 5.720 5.497 -3.466 1.756
OWMVBZPRKKRCKV-UHFFFAOYSA-N-P59-P44-P59-607684 5.719 5.498 -3.332 1.724
IPSSGMPHUGLZRR-UHFFFAOYSA-N-P59-P44-P59-607684 5.910 5.559 -4.607 1.613
WCUGQGOIUITPQJ-UHFFFAOYSA-N-P44-P44-P59-607684 5.763 5.390 -4.196 1.676
AHRCTJPXQAQSSK-UHFFFAOYSA-N-P44-P44-P59-607684 5.692 5.222 -4.582 2.445
PWZBRLGHNKCXCG-UHFFFAOYSA-N-P44-P44-P59-607684 5.848 5.427 -4.048 1.519
GKLQKGRNTKLWEN-UHFFFAOYSA-N-P59-P44-P59-607684 5.955 5.523 -4.984 1.473
LEQQRFALQGQALY-UHFFFAOYSA-N-P44-P44-P59-607684 5.920 5.537 -3.898 1.269
XPNOYDQRTXCIBF-UHFFFAOYSA-N-P59-P44-P59-607685 5.968 5.630 -4.234 0.976
WXVZQYVEEYOQIN-UHFFFAOYSA-N-P44-P44-P59-607685 5.948 5.821 -4.164 0.657
UAJXBDVKUKYINS-UHFFFAOYSA-N-P44-P44-P59-607685 5.907 5.579 -4.318 0.785
SPRWNJDPWAOTAB-UHFFFAOYSA-N-P59-P44-P59-607685 6.250 5.805 -4.148 1.316
PMUFRTBVZKQWRD-UHFFFAOYSA-N-P59-P44-P59-607685 5.400 5.286 -4.769 2.140
QCIOAOZQBNATKH-UHFFFAOYSA-N-P59-P44-P59-607685 6.080 5.803 -3.876 0.569
WJGPCXWYOQJUNG-UHFFFAOYSA-N-P44-P44-P59-607685 5.965 5.722 -4.938 1.485
SJCOJKUKBDNLFE-UHFFFAOYSA-N-P59-P44-P59-607685 6.142 5.579 -4.225 2.378
HWNFEAHHRIEVFS-UHFFFAOYSA-N-P59-P44-P59-607685 5.653 5.559 -7.008 0.761
WEZDUCRJKPYBPH-UHFFFAOYSA-N-P44-P44-P59-607685 5.709 5.591 -4.860 2.130
BHDHSJFYVXRDFL-UHFFFAOYSA-N-P59-P44-P59-607686 5.951 5.445 -4.488 0.768
XGJCBQMEPXJPMU-UHFFFAOYSA-N-P59-P44-P59-607686 5.474 5.558 -4.378 1.903
XVEMTTWBNNGQHG-UHFFFAOYSA-N-P59-P44-P59-607686 6.291 5.798 -4.605 2.180
UXXTYKDCNBECCI-UHFFFAOYSA-N-P44-P44-P59-607686 6.082 5.592 -4.489 0.853
JTLUQZRSCIUIKC-UHFFFAOYSA-N-P59-P44-P59-607686 5.877 5.376 -4.499 1.889
JPDGLVJTUZPGMP-UHFFFAOYSA-N-P59-P44-P59-607686 5.790 5.796 -5.346 2.175
ZAAFOZXJZQPHSP-UHFFFAOYSA-N-P59-P44-P59-607686 5.644 5.356 -4.535 0.537
JPBBBGJIDZJWPX-UHFFFAOYSA-N-P44-P44-P59-607686 5.802 5.503 -4.168 1.209
UFPNIQNQVBOBTB-UHFFFAOYSA-N-P44-P44-P59-607686 6.075 5.645 -4.045 2.954
COIUMPODBZVOIN-UHFFFAOYSA-N-P59-P44-P59-607686 5.556 5.473 -5.280 1.072
OEISOFIFTBYXTD-UHFFFAOYSA-N-P59-P44-P59-607687 6.162 5.679 -4.302 0.871
PUNCCCBRYBZGOX-UHFFFAOYSA-N-P59-P44-P59-607687 5.815 5.720 -5.483 2.214
SDJTVWGMOAUJCQ-UHFFFAOYSA-N-P59-P44-P59-607687 6.001 6.034 -5.954 0.681
MMZODOPHRZOKLG-UHFFFAOYSA-N-P59-P44-P59-607687 6.054 6.001 -3.990 1.718
JOQMNMVBHJQTFE-UHFFFAOYSA-N-P59-P44-P59-607687 5.997 5.864 -4.568 0.603
ADGABDSXZQAEPW-UHFFFAOYSA-N-P59-P44-P59-607687 5.789 5.422 -5.985 0.979
JLHFXXZRSGILAA-UHFFFAOYSA-N-P44-P44-P59-607687 6.199 5.813 -5.406 3.303
NQJDAXRVOLNACA-UHFFFAOYSA-N-P44-P44-P59-607687 6.447 5.879 -4.066 1.238
GWNJRVRCIMBOSP-UHFFFAOYSA-N-P44-P44-P59-607687 5.687 5.249 -4.832 0.505
LAFUPXGBKQDZKE-UHFFFAOYSA-N-P59-P44-P59-607687 6.184 5.609 -4.483 1.561
PCRQLAVEYUICMZ-UHFFFAOYSA-N-P44-P44-P59-607687 6.158 6.329 -3.991 1.502
MLJVIXLBEQTJSE-UHFFFAOYSA-N-P44-P44-P59-607687 5.901 5.998 -4.592 1.012
GUNOPEOTLXQJNJ-UHFFFAOYSA-N-P44-P44-P59-607687 5.772 5.604 -5.140 0.853
CXAUTQVHZLMUAC-UHFFFAOYSA-N-P59-P44-P59-607687 6.287 5.493 -3.149 1.659
KDROIGAYWFMKBH-UHFFFAOYSA-N-P44-P44-P59-607687 6.166 5.788 -3.987 1.481
