,xx01zvns2b,xx01zvns2b,xx01zvns2b,a71ev2a,a71ev2a,a71ev2a,d68ev3c,d68ev3c,d68ev3c
,openbind_xx01zvns2b_c2_hit_analogues_85percent,openbind_xx01zvns2b_c2_hit_analogues_90percent,openbind_xx01zvns2b_c2_hit_analogues_95percent,openbind_a71ev2a_c2_hit_analogues_85percent,openbind_a71ev2a_c2_hit_analogues_90percent,openbind_a71ev2a_c2_hit_analogues_95percent,openbind_d68ev3c_c2_hit_analogues_85percent,openbind_d68ev3c_c2_hit_analogues_90percent,openbind_d68ev3c_c2_hit_analogues_95percent
smiles,,,,,,,,,
CN(C(=O)c1ccc(Cl)c(N)c1)c1ccccc1,True,False,False,True,False,False,False,False,False
N#Cc1cccc(NC(=O)c2cccc(N)c2)c1,True,False,False,False,False,False,False,False,False
NCc1cccc(NC(=O)c2ccc(F)cc2)c1,True,False,False,False,False,False,True,False,False
Nc1cccc(C(=O)N2CCCCC2CCO)c1,True,False,False,True,False,False,False,False,False
Cc1ccc(C(=O)N2CC(C)CC(C)C2)cc1N,True,False,False,True,True,False,False,False,False
CC(N)c1cccc(NC(=O)c2ccccc2)c1,True,False,False,False,False,False,False,False,False
NCc1cccc(NC(=O)c2cccc(F)c2)c1,True,False,False,False,False,False,True,False,False
Cc1ccc(C(=O)NCc2ccc(F)cc2)cc1N,True,True,False,True,True,False,True,False,False
NC(=O)c1cc(N)ccc1OCc1cccc(Br)c1,True,False,False,False,False,False,False,False,False
CNC(C)c1cccc(NC(=O)c2ccccc2)c1,True,False,False,True,False,False,False,False,False
CN(Cc1ccccc1)C(=O)c1ccc(Cl)c(N)c1,True,True,False,True,False,False,False,False,False
Nc1ccc(Cl)c(C(=O)NCc2ccccc2F)c1,True,False,False,True,False,False,False,False,False
Cn1ncc(N)c1C#N,True,False,False,False,False,False,False,False,False
CCc1c(N)cnn1C,True,False,False,False,False,False,False,False,False
CCn1ncc(N)c1C,True,False,False,False,False,False,False,False,False
Cc1cc(N)ncc1C#N,True,False,False,False,False,False,False,False,False
C#Cc1cnc(N)cc1C,True,False,False,False,False,False,False,False,False
Cc1cnc(C(N)C2CC2)[nH]1,True,False,False,False,False,False,False,False,False
Cc1cc(C(=O)O)c2c(C)nn(CC(=O)NC3CCCC3)c2n1,True,False,False,False,False,False,False,False,False
Cc1nn(Cc2ccccc2)c2nc(C3CC3)cc(C(=O)O)c12,True,False,False,False,False,False,False,False,False
CC(C)CC(=O)Nc1cccc(CN)c1,True,False,False,True,False,False,False,False,False
CCN(Cc1cccc(N)c1)C(=O)c1cccnc1,True,False,False,True,True,False,True,False,False
CCN(Cc1cccc(N)c1)C(C)=O,True,False,False,True,True,False,False,False,False
CNC(=O)CNC(=O)c1cccc(N)c1,True,False,False,True,False,False,False,False,False
NC(=O)CCNC(=O)c1cccc(N)c1,True,False,False,True,False,False,False,False,False
Cc1ccc(N)cc1C(=O)N1CCOCC1,True,False,False,True,False,False,False,False,False
CCN(CC)CCNC(=O)c1cccc(N)c1,True,False,False,True,False,False,False,False,False
Nc1cc(C(=O)Nc2ccccc2)ccc1Cl,True,False,False,False,False,False,False,False,False
Nc1cccc(C(=O)N2CCc3ccccc32)c1,True,False,False,False,False,False,False,False,False
Cc1ccc(C(=O)Nc2cccc(CN)c2)cc1,True,False,False,False,False,False,True,False,False
Cc1nn(Cc2ccccc2Cl)c2nc(C3CC3)cc(C(=O)O)c12,True,False,False,False,False,False,False,False,False
O=C(O)c1cc(C2CC2)nc2c1c(C1CC1)nn2-c1ccccc1,True,False,False,False,False,False,False,False,False
COc1ccc(-n2nc(C)c3c(C(=O)O)cc(C4CC4)nc32)cc1,True,False,False,False,False,False,False,False,False
Cc1nn(Cc2ccc(Cl)cc2)c2nc(C3CC3)cc(C(=O)O)c12,True,False,False,False,False,False,False,False,False
Cc1ccc(Cn2nc(C)c3c(C(=O)O)c(Cl)c(C4CC4)nc32)cc1,True,False,False,False,False,False,False,False,False
Cc1nn(CC(=O)NC2CCCC2)c2nc(C3CC3)cc(C(=O)O)c12,True,False,False,False,False,False,False,False,False
CC(C)c1nn(-c2ccc(F)cc2)c2nc(C3CC3)cc(C(=O)O)c12,True,False,False,False,False,False,False,False,False
Oc1cccc(CNc2cccc3cccnc23)c1,True,False,False,False,False,False,False,False,False
Nc1ccc(C(=O)Nc2cccc3cccnc23)cc1,True,True,False,False,False,False,False,False,False
CC(C)Cn1cnc2ccccc21,True,True,False,False,False,False,True,True,False
NCCn1cnc2ccccc21,True,True,True,False,False,False,True,True,True
ClCCCCCn1cnc2ccccc21,True,False,False,False,False,False,True,False,False
C#CCn1cnc2ccccc21,True,True,True,False,False,False,True,True,True
Cn1cnc2cc(C#N)ccc21,True,False,False,False,False,False,True,False,False
OCn1cnc2ccccc21,True,True,True,False,False,False,True,True,True
CCn1cnc2ccc(C)cc21,True,False,False,False,False,False,True,False,False
Cn1cnc2cnccc21,True,True,False,False,False,False,True,True,False
Cn1cnc2cc(O)ccc21,True,False,False,False,False,False,True,False,False
Cn1cnc2ccc(Br)cc21,True,False,False,False,False,False,True,False,False
Cn1cnc2ccccc21,True,True,False,False,False,False,True,True,False
O=C([O-])Cn1cnc2ccccc21,True,False,False,False,False,False,True,False,False
Cn1cnc2ccc(F)cc21,True,False,False,False,False,False,True,False,False
[N-]=[N+]=NCCn1cnc2ccccc21,True,True,False,False,False,False,True,True,False
Cn1cnc2cc(I)ccc21,True,False,False,False,False,False,True,False,False
Cn1cnc2cc(CO)ccc21,True,False,False,False,False,False,True,False,False
