quote_entry,quoted_smiles,HIPPO Compound ID (xx01zvns2b),HIPPO Compound ID (a71ev2a),HIPPO Compound ID (d68ev3c)
EN300-1272845,Nc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,135360,,
EN300-7439200,Nc1ccc2c(c1)C(=O)N(C1CCCNC1=O)C2=O,135361,,
EN300-2009704,Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,135362,,
EN300-37156096,Cc1ccc2c(c1)[C@@H](NC(=O)OC(C)(C)C)[C@@H](C(=O)O)C2,135354,,
EN300-88347,Nc1ccc2c(c1)C(=O)N(c1ccc(F)cc1)C2=O,135363,,
EN300-27728955,CC(C)(C)OC(=O)NC1c2cccc(O)c2CC1C(=O)O,135355,,
EN300-3119278,Nc1ccc2c(c1)C1CCC2N1C(=O)C(F)(F)F,135356,,
EN300-28257523,Nc1ccc2c(c1)C(=O)N(C1CC(=O)NC1=O)C2=O,135364,,
EN300-7365471,Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,135365,,
EN300-7071569,C=C1CC(CN)(COC)C1,135503,,
EN300-51835733,Br.O=C(O)c1csc2c(Br)ccnc12,135659,,
EN300-6266534,COCC1(CN)CC(C)C1,135517,,
EN300-110411,CCOCCC1(CN)CCC1,135543,,
EN300-746119,NCC1(C2CCCO2)CCC1,135587,,
EN300-39672691,CC1(C)CCCN(CCN)C1.Cl.Cl,135549,,
EN300-47318140,COC(=O)c1csc2c(Br)ccnc12,135660,,
EN300-343682,NCC1(C2CCCCO2)CCC1,135644,,
EN300-27782177,CCCCCC(N)C1CC1.Cl,136132,,
EN300-78456,O=C(O)CCC1CC1,136664,,
EN300-1692629,Cc1cc(N)c2[nH]cnc2c1,136695,,
EN300-211845,CC1CC1CC(=O)O,136665,,
EN300-2967681,Nc1cc(Br)cc2nc[nH]c12,136696,,
EN300-130536,Nc1cc(Cl)cc2[nH]cnc12,136697,,
EN300-7225112,O=C(O)CCCCCI,136668,,
EN300-6445996,Cn1cnc2c(N)cccc21,136700,,
EN300-18477535,Cc1nc2c(N)cccc2[nH]1.Cl.Cl,136701,,
EN300-40446,O=C(O)CC1CCCO1,136669,,
EN300-7276461,C[C@@H]1C[C@H]1CCC(=O)O,136670,,
EN300-4289130,Cc1ccc2nc[nH]c2c1N,136699,,
EN300-14707,CC(O)CCCC(=O)O,136671,,
EN300-160225,C=CCCCCC(=O)O,136672,,
EN300-134849,CCC(C)CCC(=O)O,136673,,
EN300-79913,CCCC(O)CC(=O)O,136674,,
EN300-1859194,O=C(O)CCCCCF,136675,,
EN300-61548,CCCC(C)CC(=O)O,136676,,
EN300-149328,CCC(=O)CCC(=O)O,136677,,
EN300-1829663,CC1(CC(=O)O)CCC1,136678,,
EN300-49717,O=C(O)CC1=CCCC1,136679,,
EN300-125161,C#CCCCCC(=O)O,136680,,
EN300-183205,CCCCC(O)C(=O)O,136681,,
EN300-37152198,O=C(O)CC1CC(S)C1,136682,,
EN300-196066,CCCCC(C)C(=O)O,136683,,
EN300-2969945,O=C(O)CC1CC12CC2,136684,,
EN300-223522,CC(C)CCCC(=O)O,129890,,
EN300-20411,CCCCC(Br)C(=O)O,136685,,
EN300-246423,O=C(O)CC1(O)CCC1,136686,,
EN300-20142,O=C(O)CC1CCCC1,129017,,
EN300-117001,O=C(O)CC1CC(=O)C1,136687,,
EN300-120421,CCCCC(=O)C(=O)O,136688,,
EN300-1657497,C=C(C)CCCC(=O)O,136689,,
EN300-7069032,CC(F)CCCC(=O)O,136690,,
EN300-1233791,O=C(O)C(O)CC1CC1,136691,,
EN300-118441,O=CCCCCC(=O)O,136692,,
EN300-23059,CC(=O)CCCC(=O)O,136693,,
EN300-223585,CC1(CCC(=O)O)CC1,136667,,
EN300-249764,O=C(O)C(O)C1CCC1,136694,,
EN300-6020914,Nc1cc(Cl)cc2[nH]c(O)nc12,136702,,
EN300-37104305,Cl.Cn1c(=O)[nH]c2cccc(N)c21,136703,,
EN300-5084190,Nc1cc(Br)cc2nc(O)[nH]c12,136704,,
EN300-138726,CC1CNC1.O=C(O)C(F)(F)F,123114,,
EN300-71952,Cc1ccc2c(c1)nc(CCN)n2C.Cl.Cl,137010,,
EN300-233415,CC[N+](CC)(CC)CC.O=C([O-])C(F)(F)F,136997,,
EN300-20643,COC(=O)C(F)(F)F,136998,,
EN300-72279,Cl.Cl.Cn1c(CCN)nc2cc(F)ccc21,137013,,
EN300-99202,Cl.Cl.Cn1c(CCN)nc2cc(Cl)ccc21,137007,,
EN300-19221,CCOC(=O)C(F)(F)F,137002,,
EN300-01256,O=C=NC(=O)C(F)(F)F,137003,,
EN300-1250797,CN(C)C(=O)C(F)(F)F,136999,,
EN300-2493048,C#CCOC(=O)C(F)(F)F,137001,,
EN300-1251156,CON(C)C(=O)C(F)(F)F,137000,,
EN300-37334722,Cl.Cl.NC1Cc2nc3cc4c(cc3n2C1)OCCO4,137023,,
EN300-834006,CC(N)CC1CC1.Cl,137120,,
EN300-7546416,O=C(O)CC1Cn2c(nc3ccccc32)NC1=O,137170,,
EN300-211215,O=C(O)c1cc(Br)cc2[nH]c(=O)[nH]c12,123507,,
EN300-2010158,CN1CCC(N2CC(N)CC2=O)CC1.Cl.Cl,137217,,
EN300-2845132,CN1CCC(N2CCC(N)C2=O)CC1,137210,,
EN300-1387297,Nc1cccc2c1CN(C1CC(=O)NC(=O)C1)C2=O,137227,,
EN300-634621,Cn1c(=O)[nH]c2cccc(C(=O)O)c21,137190,,
EN300-190447,Cn1c(=O)[nH]c2c(C(=O)O)cccc21,137189,,
EN300-171535,CCCN1CCCC(C(=O)O)C1.Cl,137415,,
EN300-27692384,NCC1(c2ccccc2)CCCC(=O)N1.O=C(O)C(F)(F)F,137555,,
EN300-384379,CC(C)N1CCCC(C(=O)O)C1.Cl,123300,,
EN300-37155978,C[C@H]1CC(=O)N(C)C[C@H]1C(=O)O,137418,,
EN300-43378550,Cl.O=C(O)C1CCCN(c2ccncc2)C1,137442,,
EN300-39874810,Cl.Cl.O=C1CCCC2(CCCNC2)N1,137559,,
EN300-214344,O=C1CCC(C(=O)O)(c2ccccc2)CN1,137454,,
EN300-1087098,NCC1CCC(F)(F)C(=O)N1,137562,,
EN300-37334953,CCOC(=O)C1(CC(=O)O)CCCNC1=O,137465,,
EN300-26861094,CC12CCC(CN)(C1)NC2=O,137567,,
EN300-393339,NNC(=O)C1CCCC(=O)N1,137565,,
EN300-119643,O=C(O)C1CCC(=O)N(c2ccccc2)C1,137461,,
EN300-190726,O=C(O)C1CCCN(c2ccccc2)C1=O,137472,,
EN300-43506,O=C(O)C1CCCN(c2ncccc2Cl)C1,137474,,
EN300-81636,CN1C(=O)CCC(C(=O)O)C1c1cccs1,137481,,
EN300-399768,O=Cc1ccc(N2CCCC(C(=O)O)C2)o1,137482,,
EN300-39180,CC(C)CN1CCCC(C(=O)O)C1,137506,,
EN300-75414,CN1C(=O)CCC(C(=O)O)C1c1ccccc1,137497,,
EN300-78773,CN1C(=O)CCC(C(=O)O)C1c1cnn(C)c1,137489,,
EN300-298995,O=C(O)C1CCC(=O)N(c2cccc(F)c2)C1,137493,,
EN300-92485,O=C(O)C1CCCN(c2ccc([N+](=O)[O-])cc2)C1,137476,,
EN300-761163,NCC12CCC(C1)C(=O)N2,137561,,
EN300-249168,CN1C(=O)CC[C@H](C(=O)O)[C@H]1c1ccncc1.Cl,137462,,
EN300-332416,CN1C(=O)CC[C@H](C(=O)O)[C@H]1c1nccn1C,137456,,
EN300-269244,CN1C(=O)CC[C@H](C(=O)O)[C@H]1c1ccnn1C,137431,,
EN300-269650,CCN1C(=O)CC[C@H](C(=O)O)[C@H]1c1nccn1C,137426,,
EN300-1087187,O=C1CCC2CNCC2N1,137557,,
EN300-1697500,CC(C)N1CC(C(=O)O)CCC1=O,137541,,
EN300-231187,CC(C)C(CC(=O)O)c1c[nH]c2ccccc12,138020,,98125
EN300-14606,c1cc(CNC2CC2)ccn1,138037,,
EN300-332508,CN(Cc1ccncc1)CC(O)CN.Cl.Cl.Cl,138056,,
EN300-1725652,Cn1c2c(c3ccccc31)CC(C(=O)O)C2,138025,,98117
EN300-301991,CN1C(=O)C[C@H](CN)[C@H]1c1ccncc1,138070,,
EN300-43935,O=CC1CC1,129189,,
EN300-1613508,Cc1nc2c(N)ncnc2s1,138590,,
EN300-28309233,Nc1nc(Cl)nc2scnc12,138591,,
EN300-18029,CCCC=O,123365,,
EN300-103531,O=CC1CO1,138525,,
EN300-1716848,CCC(=O)S,138526,,
EN300-2995116,O=CCCO,138527,,
EN300-1725323,O=CCCF,138528,,
EN300-19563,CC(C)C=O,138529,,
EN300-19749,C=C(C)C=O,138530,,
EN300-90591,CC(Cl)C=O,138531,,
EN300-68177,O=C1CCO1,138532,,
EN300-1600489,CC(O)C=O,138533,,
EN300-60203,CC(Br)C=O,138534,,
EN300-7192580,O=CC1CC1F,138535,,
EN300-46441275,Cl.Nc1ncnc2sc(CCl)nc12.Nc1ncnc2sc(CCl)nc12.Nc1ncnc2sc(CCl)nc12,138592,,
EN300-7574084,C/C(C=O)=C\Br,138536,,
EN300-6940117,CC1CC(=O)O1,138537,,
EN300-33240752,CCCC(=O)F,138538,,
EN300-36267,CC(Br)C(=O)Br,138539,,
EN300-20490,O=C(O)CCBr,138540,,
EN300-133387,COCCC=O,138541,,
EN300-91905,C[C@H](O)C(=O)O,128890,,
EN300-105706,N#CCC(=O)Cl,138542,,
EN300-52134,O=C(O)CCO,138543,,
EN300-135453,CCC(Br)C=O,138544,,
EN300-132110,O=CCCCBr,138545,,
EN300-182105,CC1(C=O)CC1,138546,,
EN300-157825,O=CC1(F)CC1,138547,,
EN300-19926,N#CCC(=O)O,138548,,
EN300-174199,C[C@@H](O)C(=O)[O-].[Li+],138549,,
EN300-222318,CSC(C)C=O,138550,,
EN300-97486,C#CCC(=O)O,138551,,
EN300-19267,C=CCC(=O)O,138552,,
EN300-101526,O=C1CC=NO1,138553,,
EN300-180992,CC(C)(Br)C=O,138554,,
EN300-29630,O=C(Cl)C1CC1,138555,,
EN300-39852067,C[C@@H](F)C(=O)[O-].[Na+],138556,,
EN300-147204,O=C(O)CCI,130123,,
EN300-20147,C=C(C=O)CC,138557,,
EN300-310113,O=CC1CC1Cl,138558,,
EN300-1240585,N#CCCC=O,138559,,
EN300-41012,O=CCCCCl,130809,,
EN300-46819974,O=C[C@H]1C[C@H]1Br,138560,,
EN300-20448,CC(Cl)C(=O)Cl,138561,,
EN300-19158,CCCCC=O,138562,,
EN300-133813,O=CC1COC1,138563,,
EN300-20156,CC(S)C(=O)O,138564,,
EN300-19246,C=C(C)C(=O)Cl,138565,,
EN300-19270,CC(C)C(=O)Cl,138566,,
EN300-313356,O=C(Cl)CCF,138567,,
EN300-26307,CCC(C)C=O,138568,,
EN300-19579,O=C(O)CCS,138569,,
EN300-20450,O=C(Cl)CCCl,138570,,
EN300-2977620,O=CC1CSC1,138571,,
EN300-19257,CCCC(=O)Cl,138572,,
EN300-304066,C/C=C(\C)C=O,138573,,
EN300-53815,CC(C)(C)C=O,138574,,
EN300-134388,O=C([O-])C1CO1.[K+],138575,,
EN300-84961,O=CCC1CC1,138576,,
EN300-70278,CCC(=O)OC,138577,,
EN300-106327,CC1CC1C=O,138578,,
EN300-2007750,CC(C)C(=O)S,138579,,
EN300-1725354,CC(C)(F)C=O,138580,,
EN300-132996,O=C(Cl)CCBr,138581,,
EN300-86333,O=CCCCO,138582,,
EN300-378192,C[C@@H](Br)C(=O)O,138583,,
EN300-71825,O=CC1CCC1,138584,,
EN300-24953,O=C(O)CCCl,138585,,
EN300-22778,CC(Cl)C(=O)O,138586,,
EN300-223023,COC(C)C=O,138587,,
EN300-128781,C=CCCC=O,138588,,
EN300-20267,CSCCC=O,129296,,
EN300-21170,C=C1CC(=O)O1,138589,,
EN300-19272,CC(C)C(=O)O,122404,,
EN300-51875259,[N-]=[N+]=NCc1nc2c(N)ncnc2s1,138593,,
EN300-118139,O=C(O)CCc1cc2ccccc2[nH]c1=O,138862,,
EN300-1693229,OCc1cnc2n1CCC2,138865,,
EN300-95408,OCc1cncn1C1CC1,138866,,
EN300-1174403,CC(C)n1cncc1CO,138867,,
EN300-6501420,Cl.Cl.NC(Cc1cnc2ccccc2c1)C(=O)O,138863,,
EN300-295271,OCc1cnc2n1CCOC2,138868,,
EN300-6817804,OC1CCCn2c1cnc2Br,138869,,
EN300-1174416,OCc1cncn1CC(F)F,138870,,
EN300-1709929,O=C(O)CCc1cc2cc(F)ccc2nc1Cl,138864,,
EN300-192329,OCc1cncn1CC(F)(F)F,138871,,
EN300-337813,OCc1c(Br)nc2n1CCOC2,138872,,
EN300-157595,OCc1cncn1Cc1ccccc1,138873,,
EN300-157597,OCc1cnc(S)n1Cc1ccccc1,138874,,
EN300-250254,OCc1cnc(S)n1Cc1cccc(F)c1,138875,,
EN300-255829,CC(c1ccc(Cl)cc1)n1c(CO)cnc1S,138876,,
EN300-364737,CC1(CO)N=N1,138913,,
EN300-159993,CNc1nc(Cl)nc2ccccc12,138918,,
EN300-11477,CNc1nc(S)nc2ccccc12,138919,,
EN300-5104460,CNc1nc(Cl)nc2c(F)cccc12,138920,,
EN300-14921,CCNc1nc(S)nc2ccccc12,138921,,
EN300-10403,O=C(O)CNc1ncnc2ccccc12,138922,,
EN300-23476,S=c1nc2ccccc2c(NC2CC2)[nH]1,138923,,
EN300-133735,CCNc1ncnc2ccc(OC)cc12,138925,,
EN300-11739476,O=C(O)CNc1nc(Cl)nc2ccccc12,138928,,
EN300-64456,CCNC(=O)CNc1ncnc2ccccc12,138929,,
EN300-14092439,CNc1nc(Cl)nc2cc(OC)c(OC)cc12,138930,,
EN300-185895,c1coc(CNc2ncnc3ccccc23)c1,138931,,
EN300-100292,CN(C)C(C)(C)CO,138914,,
EN300-254605,CNc1ncnc2cc(C(=O)O)ccc12,138924,,
EN300-234130,CCNc1ncnc2cc(C(=O)O)ccc12,138927,,
EN300-813999,O=C1CC(CO)N1,138915,,
EN300-39860333,Brc1ccc2ncnc(N3CCNCC3)c2c1.Cl.Cl,138932,,
EN300-373660,CN1CCC1CO,138916,,
EN300-39923808,CNC1CCN(c2ncnc3ccccc23)CC1.Cl.Cl,129059,,
EN300-246946,Clc1nc(NCc2ccco2)c2ccccc2n1,129561,,
EN300-7539203,Clc1nc(NCC2CCCO2)c2ccccc2n1,138933,,
EN300-11251,S=c1nc(Nc2ccccc2)c2ccccc2[nH]1,138934,,
EN300-27221,O=C1CC[C@@H](CO)N1,138917,,
EN300-45216419,Brc1ccc2ncnc(N3CCCNCC3)c2c1.Cl.Cl,138935,,
EN300-21833,S=c1nc2ccccc2c(Nc2ccccc2Cl)[nH]1,138937,,
EN300-266800,Clc1nc(NCc2ccccc2)c2ccccc2n1,138938,,
EN300-111093,O=C(O)CNc1nc(C(F)(F)F)nc2ccccc12,138939,,
EN300-305059,Nc1ncnc2ccc(Cl)nc12,138982,,
EN300-1169979,Nc1ccn2ccnc2c1Br,139048,,
EN300-7547488,Cc1cnc2cc(N)ccn12.Cl.Cl,139049,,
EN300-39849336,Cl.Nc1ccn2cc(O)nc2c1,139050,,
EN300-307003,Cc1cn2ccc(N)cc2n1,139051,,
EN300-27755181,Cl.Cl.Nc1ccn2c(Br)cnc2c1,139052,,
EN300-186839,CC1(C)CCC(C(=O)O)O1,139058,,
EN300-52413092,Cl.Cl.Nc1cc(Br)n2ccnc2c1,139109,,
EN300-2961506,O=C(O)C1CCC2(CC2)O1,139059,,
EN300-2957137,O=C(O)C1CCC2(CCC2)O1,139060,,
EN300-177598,CC1(C)CCCC(C(=O)O)O1,139061,,
EN300-22850610,CC1(C)OC2(C(=O)O)CC1C2,139062,,
EN300-26860996,CC12CCC(C(=O)O)(CC1)O2,139063,,
EN300-2985478,CC1(C)CCC(C)(C(=O)O)O1,139064,,
EN300-2957111,O=C(O)C1CCCC2(CC2)O1,139065,,
EN300-761132,CC1(C)COCC(C(=O)O)O1,139066,,
EN300-2957128,CCC1(C)CCC(C(=O)O)O1,139067,,
EN300-27148488,CC1(C)OC2(C(=O)O)CCC1C2,139068,,
EN300-27722167,O=C(O)C1COCC2(CCC2)O1,139069,,
EN300-52481401,CC1(C)CC(C(=O)O)OC1(C)C,139070,,
EN300-3031934,O=C(O)C1CCCC2(CCC2)O1,139071,,
EN300-3031933,O=C(O)C1CCC2(CCOC2)O1,139072,,
EN300-3039063,CC1(C)CCCC(C)(C(=O)O)O1,139073,,
EN300-47327680,CC1(C)COCC(C)(C(=O)O)O1,139074,,
EN300-52317102,CC12CC(C(=O)O)(C1)OC2(C)C,139075,,
EN300-8133596,CC1(C)OC2(C(=O)O)CCC1CC2,139076,,
EN300-4593799,O=C(O)C1CCC2(CCOCC2)O1,139077,,
EN300-52419547,CC1(C)OCC(C(=O)O)OC1(C)C,139079,,
EN300-3064358,O=C(O)C1CCCC2(CCOC2)O1,139080,,
EN300-23620334,CCCCC(OC(C)(C)C)C(=O)O,139081,,
EN300-52138339,COC(=O)[C@]12C[C@H](C1)C(C(=O)O)O2,139078,,
EN300-45646672,O=C(O)C1COCC2(CCOCC2)O1,139082,,
EN300-7424948,COC(=O)C12CCC(C(=O)O)(CC1)O2,139083,,
EN300-3499796,O=C(O)C1CCCC2(CCCCC2)O1,139084,,
EN300-342221,CC(C)C1(C(=O)O)OC(=O)C(C)(C)O1,139085,,
EN300-3510000,O=C(O)C1CCCC2(CCOCC2)O1,139086,,
EN300-28256973,CCOC(=O)C12CC(C)(C1)OC2C(=O)O,139087,,
EN300-46600026,COC(=O)C12CC(C(=O)O)(C1)OC2(C)C,139088,,
EN300-117108,CC(C)(C)OC(C(=O)O)c1ccccc1,139090,,
EN300-39851164,CC(=O)OCC12CCC(C(=O)O)(CC1)O2,139091,,
EN300-27782175,CC(C)(C)O[C@H](Cc1ccccc1)C(=O)O,139092,,
EN300-37153619,O=C(O)C1CCCC2(CCC(F)(F)CC2)O1,139093,,
EN300-6474059,CCOC(=O)C12CC(C(=O)O)(C1)OC2(C)C,139094,,
EN300-52226385,CC(C)(C)OC(=O)NC[C@]12C[C@H](C1)C(C(=O)O)O2,139096,,
EN300-28256965,CC(C)(C)OC(=O)NC12CC(C)(C1)OC2C(=O)O,139097,,
EN300-47246448,CC(C)(C)OC(=O)N1CC(C(=O)O)OC2(COC2)C1,139099,,
EN300-7463577,CC(C)(C)OC(=O)N[C@@H]1C[C@@H](C(=O)O)OC(C)(C)C1,139103,,
EN300-26272970,CC(C)(C)OC(=O)NCC12CCC(C(=O)O)(CC1)O2,139104,,
EN300-27115592,CC(C)(C)OC(=O)NC12CC(C(=O)O)(C1)OC2(C)C,139107,,
EN300-27113744,CC(C)(C)OC(=O)N1CC2(COCC(C(=O)O)O2)C1,139108,,
EN300-872798,O=C(O)Cn1nnnc1C1CC1,139369,,
EN300-27148763,CCN1Cc2cc(CN)ccc2C1=O.Cl,139384,,
EN300-6495578,Cc1nnnn1C(C(=O)O)c1ccccc1,139370,,
EN300-7371590,Cl.NCc1ccc2c(c1)C(=O)NC2,139387,,
EN300-396018,NCc1ccc2c(c1)C(=O)NC2=O.O=C(O)C(F)(F)F,139389,,
EN300-7447617,CN1Cc2cc(CN)ccc2C1=O.Cl,139390,,
EN300-80396,Cc1nnnn1C(Cc1ccccc1)C(=O)O,139374,,
EN300-6494389,CN1Cc2ccc(CN)cc2C1.Cl.Cl,139386,,
EN300-06513,Cc1nnnn1C(=Cc1ccccc1)C(=O)O,139375,,
EN300-7444541,CN1Cc2ccc(CN)cc2C1=O.Cl,139391,,
EN300-370591,CN1C(=O)c2ccc(CN)cc2C1=O,139392,,
EN300-42578,Cc1nnnn1C(Cc1cccc(F)c1)C(=O)O,139380,,
EN300-27173,Cc1nnnn1C(=Cc1ccc(F)cc1)C(=O)O,139381,,
EN300-42512,Cc1nnnn1C(Cc1ccc(F)cc1)C(=O)O,139378,,
EN300-42511,COc1cccc(CC(C(=O)O)n2nnnc2C)c1,139383,,
