smiles,hit0,hit1
[H]OC(=O)c1c([H])c([H])c([H])c([C@]([H])(c2c([H])c([H])c([H])c([H])c2[H])N([H])[H])c1[H],7gqb-a,7gq1-a
[H]OC1([H])C([H])([H])N([C@]([H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[C@]([H])(c2c([H])c([H])c([H])c([H])c2[H])N([H])[H])C1([H])[H],7gqb-a,7goe-a
[H]Oc1c([H])c([H])c([H])c([H])c1N([H])c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])[H])c([C@]([H])(c2c([H])c([H])c([H])c([H])c2[H])N([H])[H])c1[H],7gqb-a,7god-a
[H]c1c([H])c([H])c([C@]([H])(c2c([H])c([H])c3c(c2[H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C3([H])[H])N([H])[H])c([H])c1[H],7gqb-a,7gof-a
[H]c1c([H])c([H])c([C@]([H])(c2c([H])c([H])c([C@]([H])(N([H])[H])C([H])([H])[H])c([H])c2[H])N([H])[H])c([H])c1[H],7gqb-a,7gog-a
[H]c1c([H])c([H])c([C@@]([H])(c2c([H])c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c2N([H])C([H])([H])[H])N([H])[H])c([H])c1[H],7gqb-a,7gou-a
[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(c2c([H])c([H])c([H])c([H])c2C([H])([H])[H])C([H])([H])C1([H])[H],7gqb-a,7gqd-a
[H]c1c([H])c([H])c([C@]([H])(N([H])[H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]23N([H])[C@]([H])(C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H])N([H])C3([H])[H])c([H])c1[H],7gqb-a,7got-a
[H]c1c([H])c([H])c([C@@]([H])(c2c([H])c([H])c([H])c(N([H])C(=O)[C@]3([H])OC([H])([H])C([H])([H])OC3([H])[H])c2[H])N([H])[H])c([H])c1[H],7gqb-a,7goz-a
[H]C1:O:N(F):C(c2c([H])c([H])c([H])c([H])c2[H]):C1C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],7gqb-a,7gp0-a
[H]c1c([H])c([H])c([C@@]([H])(c2c([H])c([H])c(N([H])[H])c([H])c2[H])N([H])[H])c([H])c1[H],7gqb-a,7gq5-a
[H]OC(=O)c1c([H])c([H])c([H])c([H])c1[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])N([H])[H],7gqb-a,7gnv-a
[H]c1c([H])c([H])c([C@@]([H])(c2c([H])c([H])c([H])c([H])c2C(=O)N([H])[C@@]2([H])C([H])([H])N([H])C(=O)C([H])([H])C2([H])[H])N([H])[H])c([H])c1[H],7gqb-a,7gny-a
[H]OC([H])([H])C(N1C([H])([H])c2c([H])c([H])c([H])c([H])c2[C@]1([H])c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H],7gqb-a,7gpc-a
[H]c1c([H])c([H])c(C([H])(c2c([H])c([H])c([H])c([H])c2[H])N([H])[H])c([H])c1[H],7gqb-a,7gqq-a
[H]c1c([H])c([H])c(C([H])(c2c([H])c([H])c([H])c([H])c2[H])N([H])[H])c([H])c1[H],7gqb-a,7gqo-a
[H]OC([H])([H])c1c(C([H])([H])[H])c([H])c([H])c([H])c1[C@@]([H])(c1c([H])c([H])c([H])c([H])c1[H])N([H])C([H])([H])N=[S@]([H])(=O)C([H])([H])[H],7gqb-a,7gpt-a
[H]c1c([H])c([H])c([C@@]([H])(c2c([H])c(F)c([H])c(OC([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H])c2[H])N([H])[H])c([H])c1[H],7gqb-a,7gpi-a
[H]c1[nH]c2c([H])c([H])c([H])c([C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])N([H])C([H])([H])C([H])([H])[H])c2c1[H],7gqb-a,7go0-a
[H]c1c([H])c2c(c([H])c1F)[C@@]1([C@H]3C([H])C([H])C([H])[C@H]3[C@@]([H])(C([H])([H])[H])N([H])C([H])([H])N1[H])C([H])([H])N2[H],7gqb-a,7go7-a
[H]c1c([H])c([H])c([C@@]([H])(C2[C@@H](F)[C@H](F)C([H])[C@@H](O)[C@H]2C([H])([H])C([H])([H])[H])N([H])[H])c([H])c1[H],7gqb-a,7gpg-a
[H]OC([H])([H])[C@@]1([H])N([H])C([H])([H])[C@]2(N1C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])N([H])[H],7gqb-a,7gqa-a
[H]O[C@@]1([H])C([H])([H])[C@]([H])(O[H])N([H])C([H])([H])[C@@]12C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])N([H])[H],7gqb-a,7go4-a
