target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C190920,1,,,,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,Nc1ccc2c(c1)CN(C1CC(F)CNC1=O)C2=O,Cc1nc2c(C(=O)Nc3ccc4c(c3)CN(C3CC(F)CNC3=O)C4=O)cc(Cl)cc2[nH]1,Amidation,,
C190921,1,,,,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,Nc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,Cc1nc2c(C(=O)Nc3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)cc(Cl)cc2[nH]1,Amidation,,
C190927,1,,,,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,Nc1ccc2c(c1)C(=O)N(c1ccc(F)cc1)C2=O,Cc1nc2c(C(=O)Nc3ccc4c(c3)C(=O)N(c3ccc(F)cc3)C4=O)cc(Cl)cc2[nH]1,Amidation,,
C190930,1,,,,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,Cc1nc2c(C(=O)Nc3ccc4c(c3)C(=O)N(C3CCC(=O)NC3=O)C4=O)cc(Cl)cc2[nH]1,Amidation,,
C190931,1,,,,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,CN1C(=O)CCC(N2Cc3cc(N)ccc3C2=O)C1=O,Cc1nc2c(C(=O)Nc3ccc4c(c3)CN(C3CCC(=O)N(C)C3=O)C4=O)cc(Cl)cc2[nH]1,Amidation,,
C190932,1,,,,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,CN1C(=O)CCC(N2Cc3ccc(N)cc3C2=O)C1=O,Cc1nc2c(C(=O)Nc3ccc4c(c3)C(=O)N(C3CCC(=O)N(C)C3=O)C4)cc(Cl)cc2[nH]1,Amidation,,
C182131,1,,,,CC(N)c1cccc(-n2cccc2)c1,O=C(O)c1cccn2cc(CN3CCCC3)nc12,CC(NC(=O)c1cccn2cc(CN3CCCC3)nc12)c1cccc(-n2cccc2)c1,Amidation,,
C199056,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,C=C(CN)c1ccc(OC)c([N+](=O)[O-])c1,C=C(CNC(=O)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1)c1ccc(OC)c([N+](=O)[O-])c1,Amidation,,
C199059,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,Nc1cccc(C(O)CN2CCCCC2)c1,O=C(Nc1cc(Cl)cc(C(=O)Nc2cccc(C(O)CN3CCCCC3)c2)c1)OCc1ccccc1,Amidation,,
C199061,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,CC(C)(C)OC(=O)N1CCc2cccc(N)c21,CC(C)(C)OC(=O)N1CCc2cccc(NC(=O)c3cc(Cl)cc(NC(=O)OCc4ccccc4)c3)c21,Amidation,,
C178483,1,,,,Nc1ccc2c(c1)CNC2=O,CC(C1CC1)n1ncc2c(C(=O)O)cc(C3CC3)nc21,CC(C1CC1)n1ncc2c(C(=O)Nc3ccc4c(c3)CNC4=O)cc(C3CC3)nc21,Amidation,,
C199068,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,CN1Cc2c(N)cccc2C(c2ccccc2)C1,CN1Cc2c(NC(=O)c3cc(Cl)cc(NC(=O)OCc4ccccc4)c3)cccc2C(c2ccccc2)C1,Amidation,,
C199069,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,CC(C)(C)OC(=O)Nc1cccc(C2CNC2)c1,CC(C)(C)OC(=O)Nc1cccc(C2CN(C(=O)c3cc(Cl)cc(NC(=O)OCc4ccccc4)c3)C2)c1,Amidation,,
C199072,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,CCOC(=O)CN1C(=O)C(F)(F)c2cc(N)ccc21,CCOC(=O)CN1C(=O)C(F)(F)c2cc(NC(=O)c3cc(Cl)cc(NC(=O)OCc4ccccc4)c3)ccc21,Amidation,,
C199073,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,CC(C)(C)OC(=O)Nc1cccc(C2CCCNC2)c1,CC(C)(C)OC(=O)Nc1cccc(C2CCCN(C(=O)c3cc(Cl)cc(NC(=O)OCc4ccccc4)c3)C2)c1,Amidation,,
C182162,1,,,,O=C(O)c1cccn2cc(CN3CCCC3)nc12,CN(C)CCN1Cc2cccc(N)c2C1,CN(C)CCN1Cc2cccc(NC(=O)c3cccn4cc(CN5CCCC5)nc34)c2C1,Amidation,,
C182164,1,,,,Nc1cccc2c1CN(c1nccs1)C2,O=C(O)c1cccn2cc(CN3CCCC3)nc12,O=C(Nc1cccc2c1CN(c1nccs1)C2)c1cccn2cc(CN3CCCC3)nc12,Amidation,,
C178504,1,,,,CN1Cc2ccc(N)cc2C1,CC(C1CC1)n1ncc2c(C(=O)O)cc(C3CC3)nc21,CC(C1CC1)n1ncc2c(C(=O)Nc3ccc4c(c3)CN(C)C4)cc(C3CC3)nc21,Amidation,,
C182185,1,,,,CC(=O)c1cc(Br)c2c(c1N)C(=O)NC2=O,O=C(O)c1cccn2cc(CN3CCCC3)nc12,CC(=O)c1cc(Br)c2c(c1NC(=O)c1cccn3cc(CN4CCCC4)nc13)C(=O)NC2=O,Amidation,,
C162830,1,,,,O=C(Nc1cc(Cl)cc(C(=O)O)c1)OCc1ccccc1,CNC(=O)c1c(F)ccc(N)c1F,CNC(=O)c1c(F)ccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)c1F,Amidation,,
C182191,1,,,,CN1CCN(c2cc(F)cc(CN)c2)CC1,O=C(O)c1cccn2cc(CN3CCCC3)nc12,CN1CCN(c2cc(F)cc(CNC(=O)c3cccn4cc(CN5CCCC5)nc34)c2)CC1,Amidation,,
C182192,1,,,,Nc1cccc2c1CN(c1ccccn1)C2,O=C(O)c1cccn2cc(CN3CCCC3)nc12,O=C(Nc1cccc2c1CN(c1ccccn1)C2)c1cccn2cc(CN3CCCC3)nc12,Amidation,,
C182197,1,,,,COC(=O)c1ccc(N)c2c1CN(C)C2=O,O=C(O)c1cccn2cc(CN3CCCC3)nc12,COC(=O)c1ccc(NC(=O)c2cccn3cc(CN4CCCC4)nc23)c2c1CN(C)C2=O,Amidation,,
C182207,1,,,,CCOCCCN1Cc2ccc(N)cc2C1,O=C(O)c1cccn2cc(CN3CCCC3)nc12,CCOCCCN1Cc2ccc(NC(=O)c3cccn4cc(CN5CCCC5)nc34)cc2C1,Amidation,,
C182210,1,,,,CC(N)c1cccc(N2CCCS2(=O)=O)c1,O=C(O)c1cccn2cc(CN3CCCC3)nc12,CC(NC(=O)c1cccn2cc(CN3CCCC3)nc12)c1cccc(N2CCCS2(=O)=O)c1,Amidation,,
