name,gnina_score,gnina_score_min,smina_score_min,min_rmsd,
P122480,6.814,6.952,-7.759,0.545
P122607,5.835,5.867,-9.287,0.672
P122831,6.719,6.808,-8.109,0.810
C45982-P611,5.630,5.567,-7.526,0.553
C33321-P170,4.463,4.347,-5.610,0.652
C47239-P100,3.491,3.274,-2.857,2.045
C46327-P296,3.938,4.271,-4.123,1.399
C97401-P9,4.262,3.967,-4.321,0.716
C97404-P9,4.031,3.831,-3.606,0.878
C132369-P220,5.329,5.390,-6.692,0.923
C13210-P270,4.296,4.307,-4.348,1.254
C56215-P205,3.692,3.652,-4.021,0.470
C118307-P200,5.345,5.510,-3.879,1.216
C132547-P200,5.915,6.071,-5.827,0.521
C68035-P51,4.274,4.192,-5.186,0.805
C64769-P219,5.450,5.434,-7.507,0.692
C51427-P138,5.402,5.194,-5.683,0.645
C47239-P208,3.481,3.434,-2.367,1.243
C46501-P481,3.483,3.188,-3.036,0.621
C51402-P120,4.878,4.726,-5.452,1.973
C51406-P120,5.129,5.000,-5.273,1.693
C51421-P120,4.627,4.664,-4.833,0.816
C51187-P481,3.851,4.083,-4.572,3.184
C95583-P404,4.912,5.027,-6.920,0.550
C53037-P106,5.023,5.080,-5.935,0.273
C68901-P103,4.127,3.972,-4.490,1.039
C11630-P405,3.287,3.661,-3.736,1.842
C45658-P207,5.097,5.303,-6.543,1.430
C55769-P616,3.921,3.890,-3.754,0.367
C45903-P109,3.906,3.682,-3.458,1.608
C45903-P535,3.674,3.701,-3.700,0.762
C66335-P153,5.114,5.197,-6.196,0.694
C57914-P234,5.612,5.677,-6.458,0.703
C57919-P234,5.672,5.637,-6.501,0.406
C45662-P439,4.030,4.005,-4.203,1.427
C54524-P305,3.868,3.764,-4.237,0.671
C45982-P197,5.772,5.815,-6.920,0.384
C65274-P174,4.757,4.743,-5.345,1.635
C15317-P103,4.648,4.640,-5.093,2.545
C71039-P103,5.102,4.743,-5.104,1.361
C3689-P239,3.453,3.603,-4.111,0.949
C46556-P493,4.210,4.270,-4.802,1.127
C46573-P493,4.556,4.788,-5.076,0.915
C9335-P174,5.680,5.773,-6.495,0.416
C46353-P372,4.344,4.170,-4.341,1.836
C47846-P481,3.895,4.215,-3.290,1.183
C47877-P481,4.252,3.889,-4.100,3.193
C46339-P374,3.266,3.346,-2.247,2.145
C54239-P153,4.811,4.924,-5.969,0.730
C60323-P153,4.685,4.876,-5.613,0.605
C48580-P124,4.660,4.501,-4.449,0.508
C45982-P173,5.779,5.733,-7.414,0.697
C45874-P159,4.500,4.499,-5.172,0.622
C3275-P159,3.968,3.818,-5.019,0.319
C46500-P219,5.045,4.954,-5.933,0.814
C46501-P219,5.223,5.357,-6.169,0.318
C13204-P195,3.659,3.589,-4.220,0.870
C36518-P207,3.626,3.857,-5.338,1.942
C63643-P219,5.510,5.401,-6.042,0.435
