target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C291066,1,,,,CC(C)(C)Sc1cc(C(=O)O)ccn1,COCC(N)CCO,COCC(CCO)NC(=O)c1ccnc(SC(C)(C)C)c1,Amidation,,
C291068,1,,,,CC(C)(C)Sc1cc(C(=O)O)ccn1,COC(=O)C(N)CCl,COC(=O)C(CCl)NC(=O)c1ccnc(SC(C)(C)C)c1,Amidation,,
C291885,1,,,,O=C(O)CC1NC(=O)c2ccccc21,COC(=O)CN1CCCC(N)C1,COC(=O)CN1CCCC(NC(=O)CC2NC(=O)c3ccccc32)C1,Amidation,,
C291086,1,,,,CC(C)(C)Sc1cc(C(=O)O)ccn1,COC(=O)C(N)CS,COC(=O)C(CS)NC(=O)c1ccnc(SC(C)(C)C)c1,Amidation,,
C191887,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,CC(N)Cc1cocn1,CC(Cc1cocn1)NC(=O)c1nn(C)c2ccc(F)cc12,Amidation,,
C291925,1,,,,CN1C(=O)C(F)CC1C(=O)O,OCC1(n2cccn2)CC1,CN1C(=O)C(F)CC1C(=O)OCC1(n2cccn2)CC1,Steglich_esterification,,
C291926,1,,,,CCN1C(=O)CCC1C(=O)O,OCC1(n2cccn2)CC1,CCN1C(=O)CCC1C(=O)OCC1(n2cccn2)CC1,Steglich_esterification,,
C291927,1,,,,CN1C(=O)C(F)CC1C(=O)O,CC(C)(CO)n1cc(I)cn1,CN1C(=O)C(F)CC1C(=O)OCC(C)(C)n1cc(I)cn1,Steglich_esterification,,
C250891,1,,,,Cn1nc(C(=O)O)c2cc(F)ccc21,Cc1ocnc1CCN,Cc1ocnc1CCNC(=O)c1nn(C)c2ccc(F)cc12,Amidation,,
C291932,1,,,,CC(C)N1C(=O)CCC1C(=O)O,OCC1(n2cccn2)CC1,CC(C)N1C(=O)CCC1C(=O)OCC1(n2cccn2)CC1,Steglich_esterification,,
C289510,1,,,,O=C(O)C(F)n1cc(Br)cn1,NCCN1CCC(NS(=O)(=O)C2CC2)CC1,O=C(NCCN1CCC(NS(=O)(=O)C2CC2)CC1)C(F)n1cc(Br)cn1,Amidation,,
C291104,1,,,,O=C(O)c1ccnc(SCC(F)(F)F)c1,COCC(C)(C)N,COCC(C)(C)NC(=O)c1ccnc(SCC(F)(F)F)c1,Amidation,,
C291937,1,,,,O=C(O)C1CCC(=O)N1C1CC1,OCC1(n2cc(Br)cn2)CC1,O=C(OCC1(n2cc(Br)cn2)CC1)C1CCC(=O)N1C1CC1,Steglich_esterification,,
