name,gnina_score,gnina_score_min,smina_score_min,min_rmsd
P498357,4.975,4.848,-6.499,0.702
P498358,5.216,5.212,-6.291,0.564
P498359,5.355,5.361,-7.245,0.271
P498360,5.415,5.444,-6.110,0.326
P498362,5.223,5.195,-6.688,0.224
P498363,5.260,5.249,-7.062,0.308
P498365,5.396,5.377,-6.070,0.312
P498370,5.167,5.224,-6.796,0.441
P498371,5.315,5.416,-6.432,0.381
P498372,5.286,5.393,-6.584,0.674
P498373,5.296,5.206,-6.463,0.311
P498377,5.352,5.367,-5.044,1.343
P498381,5.558,5.540,-6.438,0.492
P498384,5.348,5.405,-6.481,0.341
P498386,5.476,5.502,-6.271,0.399
P498387,5.428,5.451,-6.932,0.591
P498388,5.506,5.246,-5.951,1.644
P498389,5.603,5.303,-4.697,1.095
P498391,5.456,5.506,-5.320,0.514
P498395,5.441,5.321,-4.212,1.185
P498397,5.322,5.257,-5.620,0.498
P498401,5.488,5.564,-7.072,0.679
P498404,5.389,5.214,-5.823,1.060
P498406,5.337,5.393,-7.027,0.310
P498408,5.441,5.395,-5.966,0.436
P498409,5.296,5.382,-7.126,0.456
P498411,5.552,5.418,-4.982,0.781
P498417,5.516,5.505,-6.276,0.269
P498418,5.427,5.523,-6.487,0.351
P498419,5.511,5.446,-6.725,0.419
P498422,5.469,5.438,-5.786,1.081
P498424,5.741,5.479,-5.262,0.715
P498426,5.899,5.759,-6.191,0.733
P498428,5.391,5.653,-5.377,0.563
P498431,5.636,5.420,-6.103,1.275
P498432,5.693,5.848,-6.910,0.402
P498435,5.436,5.466,-4.147,1.054
P498438,5.527,5.395,-7.036,0.374
P498439,5.309,5.370,-5.906,1.476
P498442,5.901,5.779,-6.772,0.916
P498443,5.537,5.294,-7.432,0.853
P498445,5.725,5.831,-7.117,0.513
P498446,5.814,5.900,-6.043,0.506
P498448,5.403,5.393,-6.612,0.550
P498449,5.435,5.498,-4.336,1.003
P498451,5.514,5.503,-7.134,0.301
P498452,5.637,5.615,-7.557,0.226
P498454,5.332,5.048,-5.834,1.061
P498455,5.314,4.876,-6.135,0.928
P498460,5.840,5.860,-6.415,0.668
P498461,5.652,5.684,-7.037,0.331
P498463,5.640,5.509,-7.355,0.643
P498467,5.314,5.298,-6.257,0.391
P498474,5.595,5.781,-6.855,0.722
P498478,5.822,5.822,-6.519,0.323
P498481,5.410,5.458,-5.892,1.078
P498489,5.624,5.599,-6.362,0.708
P498490,5.533,5.106,-5.627,0.920
P498492,4.907,5.022,-4.842,1.088
P498493,5.826,5.839,-7.226,0.760
P498496,5.653,5.728,-7.185,0.333
P498500,5.715,5.650,-6.246,0.716
P498502,4.537,4.398,-5.322,0.958
P498503,4.717,4.540,-5.504,0.940
P498504,4.938,4.972,-5.708,0.471
P498505,4.940,4.924,-2.891,0.431
P498506,4.720,4.773,-4.658,0.818
P498508,5.209,5.150,-2.452,0.392
P498509,4.729,4.713,-6.552,0.639
P498510,4.744,4.664,-5.455,0.724
P498511,5.144,5.122,-4.584,1.155
P498513,4.914,4.899,-2.737,0.810
P498514,4.839,4.707,-6.223,0.533
P498516,4.903,4.706,-5.164,0.708
P498518,4.959,4.237,-5.881,2.277
P498519,4.968,4.663,-5.918,2.677
P498520,5.283,5.240,-4.590,0.707
P498521,5.012,4.916,-5.215,0.365
P498522,4.482,4.495,-5.348,0.807
P498523,5.165,5.273,-4.329,1.390
P498524,4.388,4.355,-4.081,0.567
P498526,4.618,4.640,-5.726,0.585
P498529,4.834,4.826,-3.773,1.290
P498534,4.855,4.744,-3.865,2.447
P498536,4.782,4.611,-3.866,2.301
P498537,5.314,4.886,-3.853,1.354
P498538,5.166,4.902,-4.163,1.777
P498539,4.804,4.764,-5.691,2.789
P498544,5.039,4.739,-3.000,1.578
P498546,4.773,4.580,-3.639,1.977
P498550,4.886,4.762,-4.531,1.449
P498551,4.842,4.782,-3.909,1.690
P498561,4.896,4.799,-4.484,1.999
P498567,4.890,4.851,-5.023,2.485
P498569,4.716,4.724,-3.757,0.515
P498575,4.572,4.433,-4.183,1.599
P498579,4.867,4.775,-4.697,1.284
P498580,4.999,4.783,-4.342,1.186
P498587,4.921,4.806,-3.774,1.487
P498593,5.270,4.873,-4.113,3.589
P498602,4.719,4.580,-4.307,1.574
P498605,5.031,4.748,-6.061,2.523
P498608,5.118,4.856,-4.013,1.286
P498612,4.896,4.826,-4.102,1.054
P498626,5.231,4.983,-3.931,1.519
P498631,4.695,4.893,-5.474,2.867
P498635,5.074,4.955,-5.466,2.518
P498637,4.715,4.538,-4.610,0.798
P498640,4.725,4.669,-4.248,2.377
P498645,5.192,4.791,-4.158,2.946
P498648,4.536,4.533,-3.986,1.670
P498653,4.876,4.853,-4.930,0.693
P498658,5.193,5.175,-5.788,2.265
P498661,4.888,5.014,-4.082,1.229
P498668,5.052,4.795,-3.305,0.721
P498675,5.005,4.849,-3.712,0.991
P498678,4.941,4.948,-5.337,1.216
P498686,4.960,4.715,-4.571,1.970
P498687,4.907,5.004,-4.127,1.068
P498694,4.902,5.076,-5.217,1.939
P498697,5.250,5.146,-4.820,0.293
P498701,4.919,4.841,-4.568,2.168
P498702,5.211,5.269,-5.039,1.961
P498706,5.268,5.201,-5.413,0.375
P498710,5.619,5.170,-3.689,1.024
P498712,5.256,5.031,-5.402,1.879
P498718,5.805,5.591,-4.253,0.897
P498721,5.216,5.307,-3.978,1.725
P498725,5.446,4.909,-4.529,3.457
P498727,5.343,4.984,-6.344,2.413
P498733,5.576,5.200,-5.040,2.136
P498734,5.567,5.457,-4.705,2.050
P498740,5.990,5.282,-4.294,2.462
P498744,5.894,5.075,-4.463,2.707
P498748,5.448,5.353,-4.660,1.726
P498751,5.102,5.098,-4.397,1.374
P498757,5.173,5.063,-5.949,2.267
P498761,5.448,5.172,-4.053,1.566
P498764,5.855,5.660,-3.674,1.847
P498767,5.236,5.137,-6.496,2.971
