compound_id,smiles,inchikey,required_amount_mg,quoted_amount_mg,quote_id,quote_supplier,quote_catalogue,quote_entry,quote_price,quote_currency,quote_lead_time_days,quoted_purity,quoted_smiles,quote_date,num_downstream_products,num_downstream_reaction_types,num_downstream_reactions,num_downstream (Amidation),num_downstream (Steglich_esterification),num_downstream (N-nucleophilic_aromatic_substitution),num_downstream (Reductive_amination),num_downstream (Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol),num_downstream (Ester_amidation),downstream_product_ids,downstream_reaction_types,downstream_reaction_ids
135652,NCC1(c2ccncc2)CCC1,JRVVFQVJYZOMEH-UHFFFAOYSA-N,2.0,10.0,3005,Enamine,,EN300-1859832,68.0,EUR,,,NCC1(c2ccncc2)CCC1,2025-12-01,2,1,2,,,2.0,,,,"{145681, 145682}",{'N-nucleophilic_aromatic_substitution'},"{13177, 13178}"
145614,CCOC(=O)c1cnc(Br)c(O)c1,NNMJQZBWNNTOHQ-UHFFFAOYSA-N,1.0,1.0,1690,Enamine,,EN300-7425998,27.0,EUR,,,CCOC(=O)c1cnc(Br)c(O)c1,2025-12-01,1,1,1,,,1.0,,,,{145681},{'N-nucleophilic_aromatic_substitution'},{13177}
145613,CCOC(=O)c1ccc(Br)nc1C,LKSLXVLEXKSTEI-UHFFFAOYSA-N,1.0,1.0,1691,Enamine,,EN300-805080,25.0,EUR,,,CCOC(=O)c1ccc(Br)nc1C,2025-12-01,1,1,1,,,1.0,,,,{145682},{'N-nucleophilic_aromatic_substitution'},{13178}
145600,NCC1(c2ccncc2)CCCCC1,XYFQMTCMVOQNHU-UHFFFAOYSA-N,5.0,10.0,3009,Enamine,,EN300-130583,65.0,EUR,,,Cl.Cl.NCC1(c2ccncc2)CCCCC1,2025-12-01,5,2,5,1.0,,4.0,,,,"{145737, 145738, 145774, 145690, 149021}","{'N-nucleophilic_aromatic_substitution', 'Amidation'}","{13186, 15782, 13233, 13234, 13270}"
145608,COC(=O)c1ccc(Br)nc1,NFLROFLPSNZIAH-UHFFFAOYSA-N,1.0,1.0,1692,Enamine,,EN300-219185,14.0,EUR,,,COC(=O)c1ccc(Br)nc1,2025-12-01,1,1,1,,,1.0,,,,{145690},{'N-nucleophilic_aromatic_substitution'},{13186}
145611,COC(=O)c1cnc(Br)c(O)c1,NRFZBMAPXCTBMP-UHFFFAOYSA-N,1.0,1.0,1694,Enamine,,EN300-220473,28.0,EUR,,,COC(=O)c1cnc(Br)c(O)c1,2025-12-01,1,1,1,,,1.0,,,,{145737},{'N-nucleophilic_aromatic_substitution'},{13233}
145610,COC(=O)c1ccc(Br)nc1C,HXSAAJMOCIAPSI-UHFFFAOYSA-N,2.0,10.0,3016,Enamine,,EN300-116881,14.0,EUR,,,COC(=O)c1ccc(Br)nc1C,2025-12-01,2,1,2,,,2.0,,,,"{145768, 145738}",{'N-nucleophilic_aromatic_substitution'},"{13264, 13234}"
145604,NC(=O)C1(c2ccncc2)CCCCC1,VERJHHXOHWWPCG-UHFFFAOYSA-N,2.0,10.0,3014,Enamine,,EN300-219754,77.0,EUR,,,NC(=O)C1(c2ccncc2)CCCCC1,2025-12-01,2,1,2,,,2.0,,,,"{145768, 145766}",{'N-nucleophilic_aromatic_substitution'},"{13264, 13262}"
145612,COC(=O)c1cnc(Br)cc1C,MVKUMSLPYGYPPO-UHFFFAOYSA-N,1.0,1.0,1687,Enamine,,EN300-2010539,14.0,EUR,,,COC(=O)c1cnc(Br)cc1C,2025-12-01,1,1,1,,,1.0,,,,{145766},{'N-nucleophilic_aromatic_substitution'},{13262}
145617,COC(=O)c1ccc(Br)n2cncc12,JZRXQRBTQCYYLS-UHFFFAOYSA-N,1.0,1.0,1696,Enamine,,EN300-1723098,78.0,EUR,,,COC(=O)c1ccc(Br)n2cncc12,2025-12-01,1,1,1,,,1.0,,,,{145774},{'N-nucleophilic_aromatic_substitution'},{13270}
145800,O=C(O)c1cc(Cl)cc2cc[nH]c12,NQDMTJYCOYPTOZ-UHFFFAOYSA-N,3.0,10.0,3021,Enamine,,EN300-1608559,21.0,EUR,,,O=C(O)c1cc(Cl)cc2cc[nH]c12,2025-12-01,3,1,3,3.0,,,,,,"{145824, 145863, 145855}",{'Amidation'},"{13288, 13325, 13317}"
145823,COc1ccc(CC(C)(N)CO)cc1OC,BEIRIAUUKCPMFX-UHFFFAOYSA-N,16.0,16.0,,Enamine,,EN300-366322,41.6,EUR,,,COc1ccc(CC(C)(N)CO)cc1OC.Cl,2025-12-01,16,1,16,16.0,,,,,,"{145824, 145827, 145828, 145829, 145831, 145832, 145837, 145838, 145839, 145842, 145843, 145844, 145845, 145847, 145848, 145849}",{'Amidation'},"{13312, 13313, 13288, 13291, 13292, 13293, 13295, 13296, 13301, 13302, 13303, 13306, 13307, 13308, 13309, 13311}"
145803,O=C(O)c1ccc(Br)c2cc[nH]c12,CDTILRQKJWYBOM-UHFFFAOYSA-N,1.0,1.0,1704,Enamine,,EN300-127190,14.0,EUR,,,O=C(O)c1ccc(Br)c2cc[nH]c12,2025-12-01,1,1,1,1.0,,,,,,{145827},{'Amidation'},{13291}
145804,O=C(O)c1cc(F)cc2cc[nH]c12,SXLQIJMLVHUFKL-UHFFFAOYSA-N,3.0,10.0,3026,Enamine,,EN300-1267322,18.0,EUR,,,O=C(O)c1cc(F)cc2cc[nH]c12,2025-12-01,3,1,3,3.0,,,,,,"{145858, 145828, 145869}",{'Amidation'},"{13320, 13331, 13292}"
145805,Cc1cc(C(=O)O)c2[nH]ccc2c1,VSHXZVNMWRDXSB-UHFFFAOYSA-N,3.0,10.0,3027,Enamine,,EN300-137326,64.0,EUR,,,Cc1cc(C(=O)O)c2[nH]ccc2c1,2025-12-01,3,1,3,3.0,,,,,,"{145865, 145829, 145853}",{'Amidation'},"{13315, 13293, 13327}"
145807,O=C(O)c1cccc2c(Br)c[nH]c12,JEWXETWMNLOZDO-UHFFFAOYSA-N,1.0,1.0,1708,Enamine,,EN300-1275495,34.0,EUR,,,O=C(O)c1cccc2c(Br)c[nH]c12,2025-12-01,1,1,1,1.0,,,,,,{145831},{'Amidation'},{13295}
145808,O=C(O)c1cc(Br)cc2cc[nH]c12,VZYDZTIPNOBVNC-UHFFFAOYSA-N,2.0,10.0,3030,Enamine,,EN300-152679,14.0,EUR,,,O=C(O)c1cc(Br)cc2cc[nH]c12,2025-12-01,2,1,2,2.0,,,,,,"{145832, 145867}",{'Amidation'},"{13296, 13329}"
145811,O=C(O)c1c(F)c(Cl)cc2cc[nH]c12,IRIKKRIFUYYKKD-UHFFFAOYSA-N,3.0,10.0,3034,Enamine,,EN300-5166920,143.0,EUR,,,O=C(O)c1c(F)c(Cl)cc2cc[nH]c12,2025-12-01,3,1,3,3.0,,,,,,"{145880, 145876, 145837}",{'Amidation'},"{13338, 13301, 13342}"
145812,COc1ccc(C(=O)O)c2[nH]ccc12,LWCDWDRDMSUCGB-UHFFFAOYSA-N,2.0,10.0,3035,Enamine,,EN300-22086940,69.0,EUR,,,COc1ccc(C(=O)O)c2[nH]ccc12,2025-12-01,2,1,2,2.0,,,,,,"{145881, 145838}",{'Amidation'},"{13302, 13343}"
145813,CCc1cc2cc(Cl)cc(C(=O)O)c2[nH]1,AEUWRYIFHSHYTD-UHFFFAOYSA-N,3.0,10.0,3036,Enamine,,EN300-26625539,492.0,EUR,,,CCc1cc2cc(Cl)cc(C(=O)O)c2[nH]1,2025-12-01,3,1,3,3.0,,,,,,"{145889, 145884, 145839}",{'Amidation'},"{13346, 13351, 13303}"
145816,O=C(O)c1cccc2c3c([nH]c12)CCC3,KUCYGAINBAZNHN-UHFFFAOYSA-N,2.0,10.0,7656,Enamine,,Z317025056,18.0,EUR,,,O=C(O)c1cccc2c3c([nH]c12)CCC3,2025-12-09,2,1,2,2.0,,,,,,"{145888, 145842}",{'Amidation'},"{13306, 13350}"
145817,Cc1[nH]c2c(C(=O)O)ccc(Br)c2c1C,CFVMVZUVLFZQBO-UHFFFAOYSA-N,3.0,10.0,7657,Enamine,,Z9393087505,39.0,EUR,,,Cc1[nH]c2c(C(=O)O)ccc(Br)c2c1C,2025-12-09,3,1,3,3.0,,,,,,"{145844, 145893, 145887}",{'Amidation'},"{13355, 13308, 13349}"
145818,O=C(O)c1cccc2c3c([nH]c12)CCCC3,POBJTDRFZSKTBC-UHFFFAOYSA-N,3.0,10.0,3041,Enamine,,EN300-30538,14.0,EUR,,,O=C(O)c1cccc2c3c([nH]c12)CCCC3,2025-12-01,3,1,3,3.0,,,,,,"{145845, 145894, 145895}",{'Amidation'},"{13357, 13356, 13309}"
145820,O=C(O)c1cccc2c3c([nH]c12)CCCCC3,YKASTBHMLNMFOL-UHFFFAOYSA-N,3.0,10.0,7659,Enamine,,Z316172668,15.0,EUR,,,O=C(O)c1cccc2c3c([nH]c12)CCCCC3,2025-12-09,3,1,3,3.0,,,,,,"{145896, 145899, 145847}",{'Amidation'},"{13361, 13358, 13311}"
145821,CC1CCc2[nH]c3c(C(=O)O)cccc3c2C1,YDECTAHOPWOBON-UHFFFAOYSA-N,3.0,10.0,7660,Enamine,,Z381026484,15.0,EUR,,,CC1CCc2[nH]c3c(C(=O)O)cccc3c2C1,2025-12-09,3,1,3,3.0,,,,,,"{145848, 145898, 145901}",{'Amidation'},"{13312, 13360, 13363}"
145822,O=C(O)c1cccc2ccn(Cc3ccccc3)c12,COOUZENIUWFUMU-UHFFFAOYSA-N,3.0,10.0,3045,Enamine,,EN300-624300,47.0,EUR,,,O=C(O)c1cccc2ccn(Cc3ccccc3)c12,2025-12-01,3,1,3,3.0,,,,,,"{145849, 145902, 145903}",{'Amidation'},"{13313, 13364, 13365}"
145850,NC1(Cc2ccc(F)cc2F)COC1,UPFPIWANOJNOBO-UHFFFAOYSA-N,16.0,16.0,,Enamine,,EN300-7473059,136.0,EUR,,,Cl.NC1(Cc2ccc(F)cc2F)COC1,2025-12-01,16,1,16,16.0,,,,,,"{145885, 145858, 145894, 145896, 145897, 145887, 145898, 145902, 145872, 145874, 145876, 145883, 145884, 145853, 145886, 145855}",{'Amidation'},"{13345, 13346, 13315, 13347, 13317, 13348, 13349, 13320, 13356, 13358, 13359, 13360, 13364, 13334, 13336, 13338}"
145851,COC(=O)C(C)(N)Cc1ccc(F)cc1,ZGLCWUAEHZXXBE-UHFFFAOYSA-N,18.0,18.0,,Enamine,,EN300-344572,117.0,EUR,,,COC(=O)C(C)(N)Cc1ccc(F)cc1.Cl,2025-12-01,18,1,18,18.0,,,,,,"{145888, 145889, 145890, 145891, 145892, 145893, 145863, 145895, 145865, 145867, 145868, 145869, 145899, 145900, 145901, 145903, 145880, 145881}",{'Amidation'},"{13350, 13351, 13352, 13353, 13354, 13355, 13325, 13357, 13327, 13329, 13330, 13331, 13361, 13362, 13363, 13365, 13342, 13343}"
145801,O=C(O)c1ccc(Cl)c2cc[nH]c12,FSSABPRCBJORSR-UHFFFAOYSA-N,1.0,1.0,1702,Enamine,,EN300-1654407,14.0,EUR,,,O=C(O)c1ccc(Cl)c2cc[nH]c12,2025-12-01,1,1,1,1.0,,,,,,{145868},{'Amidation'},{13330}
145810,Cc1[nH]c2c(C(=O)O)cccc2c1C,ITMIUTVFOTYMOJ-UHFFFAOYSA-N,1.0,1.0,1711,Enamine,,EN300-30851,14.0,EUR,,,Cc1[nH]c2c(C(=O)O)cccc2c1C,2025-12-01,1,1,1,1.0,,,,,,{145872},{'Amidation'},{13334}
121613,O=Cc1c[nH]c2c(C(=O)O)cccc12,HABYJDPNVBUDGD-UHFFFAOYSA-N,1.0,1.0,1712,Enamine,,EN300-311482,14.0,EUR,,,O=Cc1c[nH]c2c(C(=O)O)cccc12,2025-12-01,1,1,1,1.0,,,,,,{145874},{'Amidation'},{13336}
145815,Cn1cc(C=O)c2cccc(C(=O)O)c21,OBBQNZXBAMVGKR-UHFFFAOYSA-N,2.0,10.0,3038,Enamine,,EN300-330412,44.0,EUR,,,Cn1cc(C=O)c2cccc(C(=O)O)c21,2025-12-01,2,1,2,2.0,,,,,,"{145883, 145891}",{'Amidation'},"{13345, 13353}"
145814,COc1ccc2ccn(C)c2c1C(=O)O,LXOOCVJJMHZKCH-UHFFFAOYSA-N,2.0,10.0,3037,Enamine,,EN300-1590164,163.0,EUR,,,COc1ccc2ccn(C)c2c1C(=O)O,2025-12-01,2,1,2,2.0,,,,,,"{145890, 145885}",{'Amidation'},"{13352, 13347}"
