smiles,hit1,hit2,hit3,hit4,hit5
CCOC(=O)c1csc(N(C)C(=O)c2cc3nc(C=O)cn3cc2Br)n1,Z0673a,Z1495a,,,
C=CCN(C(=O)c1cc2nccn2cc1Br)c1nc(C(=O)OCC)cs1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(C=O)n3cc2Br)sc1Br,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(C)C(=O)c2cc3ncc(C=O)n3cc2Br)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2F)sc1C(C)=O,Z0673a,Z1495a,,,
C=CCN(C(=O)c1cc2nccn2cc1F)c1nc(C(=O)OCC)cs1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2Br)sc1C(C)=O,Z0673a,Z1495a,,,
C=CCN(C(=O)c1cc(Br)n2ccnc2c1)c1nc(C(=O)OCC)cs1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc(Br)n3ccnc3c2)sc1C(C)=O,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nc(C=O)cn3cc2Br)sc1Br,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3c(Br)cnc3c2)sc1C(C)=O,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(C=O)n3cc2Br)sc1I,Z0673a,Z1495a,,,
C=CCN(C(=O)c1ccn2c(Br)cnc2c1)c1nc(C(=O)OCC)cs1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C4CC4)nc3c2)sc1Br,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Cl)n3cc2F)sc1CC,Z0673a,Z1495a,,,
C=CCN(C(=O)c1ccn2cc(C)nc2c1)c1nc(C(=O)OCC)cs1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C4CC4)nc3c2)sc1I,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C4CC4)nc3c2)sc1Cl,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Br)n3cc2F)sc1CC,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(C)C(=O)c2ccn3cc(C4CC4)nc3c2)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nc(C=O)cn3cc2Br)sc1I,Z0673a,Z1495a,,,
C=CCN(C(=O)c1ccn2c(C)cnc2c1)c1nc(C(=O)OCC)cs1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc(Br)n3ccnc3c2)sc1C(F)(F)F,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3c(C)cnc3c2)sc1C(F)(F)F,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(C)C(=O)c2ccn3cc(C(F)(F)F)nc3c2)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2F)sc1C(F)(F)F,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3c(Br)cnc3c2)sc1C(F)(F)F,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C(F)(F)F)nc3c2)sc1I,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C(F)(F)F)nc3c2)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C(F)(F)F)nc3c2)sc1Br,Z0673a,Z1495a,,,
C=CCN(C(=O)c1cc2ncc(Cl)n2cc1F)c1nc(C(=O)OCC)cs1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Cl)n3cc2F)sc1C(C)=O,Z0673a,Z1495a,,,
C=CCN(C(=O)c1cc2ncc(Br)n2cc1F)c1nc(C(=O)OCC)cs1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Br)n3cc2F)sc1C(C)=O,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C)nc3c2)sc1C(F)(F)F,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2Br)sc1C(F)(F)F,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(CC)C(=O)c2cc3nc(C=O)cn3cc2Br)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nc(C=O)cn3cc2Br)sc1CC,Z0673a,Z1495a,,,
CC(C)(C)OC(=O)c1csc(NC(=O)c2cc3nc(C=O)cn3cc2Br)n1,Z0673a,Z1495a,,,
CC(C)(C)OC(=O)c1csc(NC(=O)c2ccn3cc(C4CC4)nc3c2)n1,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(CC)C(=O)c2ccn3cc(C4CC4)nc3c2)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C4CC4)nc3c2)sc1CC,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(CC)C(=O)c2cc3ncc(C=O)n3cc2Br)n1,Z0673a,Z1495a,,,
CC(C)(C)OC(=O)c1csc(NC(=O)c2cc3ncc(C=O)n3cc2Br)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C(F)(F)F)nc3c2)sc1CC,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(CC)C(=O)c2ccn3cc(C(F)(F)F)nc3c2)n1,Z0673a,Z1495a,,,
CC(C)(C)OC(=O)c1csc(NC(=O)c2ccn3cc(C(F)(F)F)nc3c2)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(C=O)n3cc2Br)sc1C(C)=O,Z0673a,Z1495a,,,
C=CCN(C(=O)c1cc2nc(C=O)cn2cc1Br)c1nc(C(=O)OCC)cs1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nc(C=O)cn3cc2Br)sc1C(C)=O,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Br)n3cc2F)sc1C(F)(F)F,Z0673a,Z1495a,,,
C=CCN(C(=O)c1ccn2cc(C3CC3)nc2c1)c1nc(C(=O)OCC)cs1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3ncc(Cl)n3cc2F)sc1C(F)(F)F,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C4CC4)nc3c2)sc1C(C)=O,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nc(C=O)cn3cc2Br)sc1C(F)(F)F,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C4CC4)nc3c2)sc1C(F)(F)F,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C(F)(F)F)nc3c2)sc1C(C)=O,Z0673a,Z1495a,,,
C=CCN(C(=O)c1ccn2cc(C(F)(F)F)nc2c1)c1nc(C(=O)OCC)cs1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(-c4cnn(C)c4)nc3c2)sc1Cl,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(-c4cnn(C)c4)nc3c2)sc1C,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(-c4cnn(C)c4)nc3c2)sc1Br,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(C)C(=O)c2ccn3cc(-c4cnn(C)c4)nc3c2)n1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(-c4cnn(C)c4)nc3c2)sc1CC,Z0673a,Z1495a,,,
CCOC(=O)c1csc(N(CC)C(=O)c2ccn3cc(-c4cnn(C)c4)nc3c2)n1,Z0673a,Z1495a,,,
Cn1cc(-c2cn3ccc(C(=O)Nc4nc(C(=O)OC(C)(C)C)cs4)cc3n2)cn1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3cc(C)nc3c2)sc1Cc1ccccc1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2ccn3c(Br)cnc3c2)sc1Cc1ccccc1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2F)sc1Cc1ccccc1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc3nccn3cc2Br)sc1Cc1ccccc1,Z0673a,Z1495a,,,
CCOC(=O)c1nc(NC(=O)c2cc(Br)n3ccnc3c2)sc1Cc1ccccc1,Z0673a,Z1495a,,,
