smiles,template,compound_set,hit1
CC1(C)Cc2cc(NC(=O)c3cc(Cl)cc4c3cnn4C3CNC3)ccc2O1,Z4838a,openbind_xx01zvns2b_c2_elaborated_hits,Z4838a
CC1(C)Cc2cccc(NC(=O)c3cc(Cl)cc4c3cnn4C3CNC3)c2O1,Z4849a,openbind_xx01zvns2b_c2_elaborated_hits,Z4849a
O=C(Nc1ccc2c(c1)CCCC2)c1cc(Cl)cc2c1cnn2C1CNC1,Z4855a,openbind_xx01zvns2b_c2_elaborated_hits,Z4855a
CN1Cc2ccc(NC(=O)c3cc(Cl)cc4c3cnn4C3CNC3)cc2C1,Z4857a,openbind_xx01zvns2b_c2_elaborated_hits,Z4857a
O=C(Nc1cc(F)cc(N2CCCC2)c1)c1cc(Cl)cc2c1cnn2C1CNC1,Z4858a,openbind_xx01zvns2b_c2_elaborated_hits,Z4858a
O=C(Nc1ccc([C@H]2CCOC2)cc1F)c1cc(Cl)cc2c1cnn2C1CNC1,Z4861a,openbind_xx01zvns2b_c2_elaborated_hits,Z4861a
O=C(Nc1ccc(N2CCCCC2)c(F)c1)c1cc(Cl)cc2c1cnn2C1CNC1,Z4872a,openbind_xx01zvns2b_c2_elaborated_hits,Z4872a
N#Cc1cccc(NC(=O)c2cc(Cl)cc3c2cnn3C2CNC2)c1,Z4886a,openbind_xx01zvns2b_c2_elaborated_hits,Z4886a
O=C(Nc1ccc(F)cc1)c1cc(Cl)cc2c1cnn2C1CNC1,Z4887a,openbind_xx01zvns2b_c2_elaborated_hits,Z4887a
O=C(Nc1ccc(O[C@H]2CC2(F)F)cc1)c1cc(Cl)cc2c1cnn2C1CNC1,Z4905a,openbind_xx01zvns2b_c2_elaborated_hits,Z4905a
O=C(Nc1ccc2c(c1)CN(CC(F)F)C2)c1cc(Cl)cc2c1cnn2C1CNC1,Z4590a,openbind_xx01zvns2b_c2_elaborated_hits,Z4590a
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(-c2cn[nH]c2)c1,Z4959a,openbind_xx01zvns2b_c2_elaborated_hits,Z4959a
