target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2,reactant-3-1,reactant-4-1
C118,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1cc(F)cc2n[nH]cc12,O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]ncc12,Amidation,,,,,,,,,,
C123,1,,,,Nc1ccc2c(c1)CNC2,CCOC(=O)c1cncc2[nH]ncc12,O=C(Nc1ccc2c(c1)CNC2)c1cncc2[nH]ncc12,Ester_amidation,,,,,,,,,,
C124,1,,,,Nc1ccc2c(c1)CNC2,CC(C1CC1)n1ncc2c(C(=O)O)cc(C3CC3)nc21,CC(C1CC1)n1ncc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(C3CC3)nc21,Amidation,,,,,,,,,,
C127,1,,,,Nc1ccc2c(c1)CNC2,N#Cc1ccc(C(=O)O)cc1Cl,N#Cc1ccc(C(=O)Nc2ccc3c(c2)CNC3)cc1Cl,Amidation,,,,,,,,,,
C128,1,,,,Nc1ccc2c(c1)CNC2,CCOC(=O)c1cccc2[nH]cnc12,O=C(Nc1ccc2c(c1)CNC2)c1cccc2[nH]cnc12,Ester_amidation,,,,,,,,,,
C129,1,,,,Nc1ccc2c(c1)CNC2,CC1(C)C(=O)Nc2ccc(C(=O)O)cc21,CC1(C)C(=O)Nc2ccc(C(=O)Nc3ccc4c(c3)CNC4)cc21,Amidation,,,,,,,,,,
C130,1,,,,Nc1ccc2c(c1)CNC2,CC(=O)Nc1cccc(C(=O)O)n1,CC(=O)Nc1cccc(C(=O)Nc2ccc3c(c2)CNC3)n1,Amidation,,,,,,,,,,
C131,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1cc(Br)cc2[nH]c(=O)[nH]c12,O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]c(=O)[nH]c12,Amidation,,,,,,,,,,
C135,1,,,,Nc1ccc2c(c1)CNC2,CCOC(=O)c1cc(Cl)ccc1-n1cncn1,O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)ccc1-n1cncn1,Ester_amidation,,,,,,,,,,
C136,1,,,,Nc1ccc2c(c1)CNC2,O=C(O)c1cccc2[nH]c(C(F)(F)F)nc12,O=C(Nc1ccc2c(c1)CNC2)c1cccc2nc(C(F)(F)F)[nH]c12,Amidation,,,,,,,,,,
