target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1,reactant-4-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2
C7420,1,,,,CC(C)N,Cn1c(Cl)nc2cc(F)ccc21,CC(C)Nc1nc2cc(F)ccc2n1C,N-nucleophilic_aromatic_substitution,,,,,,,,,,
C55341,1,,,,C=O,[C-]#[N+]c1ccccn1,NS(=O)(=O)c1ccc(C(=O)OCC(=O)Nc2ccccn2)s1,Passerini_reaction,,,NS(=O)(=O)c1ccc(C(=O)O)s1,,,,,,,
C11823,1,,,,CC(CN)B1OC(C)(C)C(C)(C)O1,Clc1nc2ccc(Br)cc2[nH]1,CC(CN)c1nc2ccc(Br)cc2[nH]1,Sp3-sp2_Suzuki_coupling,,,,,,,,,,
C2852,1,,,,Clc1cccc2nc(Br)[nH]c12,CC1(C)OB(C2CCCNC2)OC1(C)C,Clc1cccc2nc(C3CCCNC3)[nH]c12,Sp3-sp2_Suzuki_coupling,,,,,,,,,,
C5622,1,,,,Oc1ccc2c(c1)CNC2,CN1CCCCC1CO,CN1CCCCC1COc1ccc2c(c1)CNC2,Mitsunobu_aryl_ether_synthesis,,,,,,,,,,
C48411,1,,,,O=C(O)c1cn2ccccc2n1,CC(CCN)NC(=O)c1ccncc1,CC(CCNC(=O)c1cn2ccccc2n1)NC(=O)c1ccncc1,Amidation,,,,,,,,,,
C771,1,,,,NCc1ccc2c(c1)CNC2,Nc1nc2ccccc2s1,O=C(NCc1ccc2c(c1)CNC2)Nc1nc2ccccc2s1,Formation_of_urea_from_two_amines,,,,,,,,,,
C13030,1,,,,CC(CN)c1ccccn1,CC(C)Cc1ccnc(N)c1,CC(C)Cc1ccnc(NC(=O)NCC(C)c2ccccn2)c1,Formation_of_urea_from_two_amines,,,,,,,,,,
C120734,1,,,,NC1CCCNC1=O,CCC(CC)C(=O)O,CCC(CC)C(=O)NC1CCCNC1=O,Amidation,,,,,,,,,,
C6461,1,,,,CC(=O)NCC1CCN1,O=C(O)C(O)Cc1c[nH]cn1,CC(=O)NCC1CCN1C(=O)C(O)Cc1c[nH]cn1,Amidation,,,,,,,,,,
C17109,1,,,,O=C(O)c1cc2[nH]cnc2cc1F,CC(N)c1ncc[nH]1,CC(NC(=O)c1cc2[nH]cnc2cc1F)c1ncc[nH]1,Amidation,,,,,,,,,,
C7721,1,,,,NCCc1ncc[nH]1,O=C(O)Cc1ccn(C2CCCC2)n1,O=C(Cc1ccn(C2CCCC2)n1)NCCc1ncc[nH]1,Amidation,,,,,,,,,,
C53731,1,,,,c1cc(N2CCNCC2)c2cc[nH]c2c1,O=C(O)C1CCCS1,O=C(C1CCCS1)N1CCN(c2cccc3[nH]ccc23)CC1,Amidation,,,,,,,,,,
C48727,1,,,,O=C(O)c1ncc[nH]1,CC(C)NC1CCC(N)CC1,CC(C)NC1CCC(NC(=O)c2ncc[nH]2)CC1,Amidation,,,,,,,,,,
C1553,1,,,,CC(C)CC(N)c1nc2ccccc2[nH]1,CC(C(=O)O)c1ccccn1,CC(C)CC(NC(=O)C(C)c1ccccn1)c1nc2ccccc2[nH]1,Amidation,,,,,,,,,,
C55395,1,,,,Sc1nnc2ccccn12,CC(=O)N(C)c1nc(CCl)cs1,CC(=O)N(C)c1nc(CSc2nnc3ccccn23)cs1,Nucleophilic_substitution_with_thioamide,,,,,,,,,,
