target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C197,1,,,,N,Cc1cc(O)nc(CCNS(=O)(=O)c2csc(F)n2)n1,Cc1cc(O)nc(CCNS(=O)(=O)c2csc(N)n2)n1,N-nucleophilic_aromatic_substitution,,
C27587,1,,,,O=C(O)c1csc(N2CCCCC2)n1,CC(CN)[S+](C)[O-],CC(CNC(=O)c1csc(N2CCCCC2)n1)[S+](C)[O-],Amidation,,
C38140,1,,,,CCOC(=O)C1CCNC1,O=C(O)C(O)C1CCOCC1,CCOC(=O)C1CCN(C(=O)C(O)C2CCOCC2)C1,Amidation,,
C13421,1,,,,Nc1cnn(CC(=O)O)c1,CC(CC(=O)O)n1cccn1,CC(CC(=O)Nc1cnn(CC(=O)O)c1)n1cccn1,Amidation,,
C12434,1,,,,NCc1ccon1,CCC(=O)CNC(=O)Cn1ccnc1C(C)C,CCC(CNC(=O)Cn1ccnc1C(C)C)NCc1ccon1,Reductive_amination,,
C29828,1,,,,NC(Cc1cnc[nH]1)C(=O)O,Cc1nc2ccccn2c1C=O,Cc1nc2ccccn2c1CNC(Cc1cnc[nH]1)C(=O)O,Reductive_amination,,
C36757,1,,,,CC(CNC(=O)Cc1cccc(Br)c1)NC(=O)c1cc[nH]n1,CC(C)B1OC(C)(C)C(C)(C)O1,CC(CNC(=O)Cc1cccc(C(C)C)c1)NC(=O)c1cc[nH]n1,Sp3-sp2_Suzuki_coupling,,
C10168,1,,,,O=C(O)C1CCCN1,NCCc1c[nH]cn1,O=C(NCCc1c[nH]cn1)C1CCCN1,Amidation,,
C6030,1,,,,OC1CCN(c2ccccn2)C1,COCCOC(C)C(=O)O,COCCOC(C)C(=O)OC1CCN(c2ccccn2)C1,Steglich_esterification,,
C15003,1,,,,O=C(O)Cc1cccs1,Cc1nc(C(=O)NC(C)CCN)c[nH]1,Cc1nc(C(=O)NC(C)CCNC(=O)Cc2cccs2)c[nH]1,Amidation,,
C28354,1,,,,COCCn1cc(C(=O)O)cn1,CC(CO)C(=O)N(C)CCN,COCCn1cc(C(=O)NCCN(C)C(=O)C(C)CO)cn1,Amidation,,
C14644,1,,,,C1CCN(C2CCNC2)C1,CC(C)Oc1nccnc1Cl,CC(C)Oc1nccnc1N1CCC(N2CCCC2)C1,N-nucleophilic_aromatic_substitution,,
C39995,1,,,,O=C(O)c1cc2ccc(C(F)(F)F)cc2[nH]1,NCCc1nc2ccccc2[nH]1,O=C(NCCc1nc2ccccc2[nH]1)c1cc2ccc(C(F)(F)F)cc2[nH]1,Amidation,,
C24602,1,,,,O=C(O)CC1CCCO1,COc1ccncc1C(=O)N(C)CCN,COc1ccncc1C(=O)N(C)CCNC(=O)CC1CCCO1,Amidation,,
C28548,1,,,,OCc1cn2cccnc2n1,NC(c1cccnc1)C1CC1,c1cncc(C(NCc2cn3cccnc3n2)C2CC2)c1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,
