target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1
C5838,1,,,,CNCc1ccccn1,O=C(NCCO)c1cccnc1,CN(CCNC(=O)c1cccnc1)Cc1ccccn1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,
C117748,1,,,,O=C(O)CCc1cnc2ccccc2c1,CCn1cncc1CO,CCn1cncc1COC(=O)CCc1cnc2ccccc2c1,Steglich_esterification,,,
C1737,1,,,,CC(=O)NCc1ccc2c(c1)CNC2,C=C(COC)C(=O)O,C=C(COC)C(=O)N1Cc2ccc(CNC(C)=O)cc2C1,Amidation,,,
C115821,1,,,,CC(=O)NCC1CCCNC1,Brc1ccc2ncsc2c1,CC(=O)NCC1CCCN(S(=O)(=O)c2ccc3ncsc3c2)C1,Formation_of_sulfonamide_from_halide_-_Shavnya_reaction,,,
C5850,1,,,,COCCC(N)c1cccnc1,O=C(O)c1ncccc1Br,COCCC(NC(=O)c1ncccc1Br)c1cccnc1,Amidation,,,
C51739,1,,,,c1ccc2c(C3CCNCC3)c[nH]c2c1,CC(=O)NC(C)(C(=O)O)C(C)C,CC(=O)NC(C)(C(=O)N1CCC(c2c[nH]c3ccccc23)CC1)C(C)C,Amidation,,,
C4139,1,,,,CC(C)S(=O)(=O)c1ccc2nccc(Cl)c2c1,CC(=O)NCC1CNCCO1,CC(=O)NCC1CN(c2ccnc3ccc(S(=O)(=O)C(C)C)cc23)CCO1,N-nucleophilic_aromatic_substitution,,,
C10191,1,,,,O=C(O)Cc1cscn1,COc1ccc2cccnc2c1CN,COc1ccc2cccnc2c1CNC(=O)Cc1cscn1,Amidation,,,
C5187,1,,,,O=C(O)c1csc(-c2ncc[nH]2)n1,CCC(N)C(C)O,CCC(NC(=O)c1csc(-c2ncc[nH]2)n1)C(C)O,Amidation,,,
C7475,1,,,,NCC1CCCNC1,O=C(O)Cc1nc(-c2ccccc2)cs1,O=C(Cc1nc(-c2ccccc2)cs1)NCC1CCCNC1,Amidation,,,
C3291,1,,,,NCc1ccncn1,NCc1ccnc(C2CC2)c1,O=C(NCc1ccnc(C2CC2)c1)NCc1ccncn1,Formation_of_urea_from_two_amines,,,
C55804,1,,,,O=C(O)c1cccc2ncccc12,CC(N)c1ccncc1,CC(NC(=O)c1cccc2ncccc12)c1ccncc1,Amidation,,,
C8622,1,,,,CC(C)(N)CO,O=C(O)c1ccnc2c(C(F)(F)F)cccc12,CC(C)(CO)NC(=O)c1ccnc2c(C(F)(F)F)cccc12,Amidation,,,
C14536,1,,,,CC1NCc2ccccc21,CC(C)(C(=O)O)c1cncnc1,CC1c2ccccc2CN1C(=O)C(C)(C)c1cncnc1,Amidation,,,
C621,1,,,,Nc1ccccc1OCCF,CCC(=O)c1ccncc1,CCC(Nc1ccccc1OCCF)c1ccncc1,Reductive_amination,,,
C14716,1,,,,CC(=O)NCC1CCCN1,O=C(O)c1cccc2[nH]ccc12,CC(=O)NCC1CCCN1C(=O)c1cccc2[nH]ccc12,Amidation,,,
C2607,1,,,,O=C(O)CC1CCCS1(=O)=O,NCc1cccnc1,O=C(CC1CCCS1(=O)=O)NCc1cccnc1,Amidation,,,
C13057,1,,,,O=C(O)c1ccc2nc(C(F)(F)F)cn2c1,CNc1ccccn1,CN(C(=O)c1ccc2nc(C(F)(F)F)cn2c1)c1ccccn1,Amidation,,,
C10072,1,,,,O=C1CNCCN1c1ncccn1,CN(CCC(=O)O)c1ccncc1,CN(CCC(=O)N1CCN(c2ncccn2)C(=O)C1)c1ccncc1,Amidation,,,
C4344,1,,,,O=C(O)c1ccn2ccnc2c1,CCOC(=O)c1csc(N)n1,CCOC(=O)c1csc(NC(=O)c2ccn3ccnc3c2)n1,Amidation,,,
C15313,1,,,,NCCc1cccc2cccnc12,Cc1cccn2cc(CC(=O)O)nc12,Cc1cccn2cc(CC(=O)NCCc3cccc4cccnc34)nc12,Amidation,,,
C4755,1,,,,OCc1cnn2c1CNCC2,CCCN1CCCCC1CN,CCCN1CCCCC1CNCc1cnn2c1CNCC2,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,
C13921,1,,,,O=C(O)C=Cc1c[nH]cn1,Cc1ccc2cccc(N)c2n1,Cc1ccc2cccc(NC(=O)C=Cc3c[nH]cn3)c2n1,Amidation,,,
C453,1,,,,O=C(O)C=Cc1cccnc1,NCC(=O)N1CCc2sccc2C1,O=C(C=Cc1cccnc1)NCC(=O)N1CCc2sccc2C1,Amidation,,,
C9337,1,,,,O=C(O)CCn1cnc2ccccc21,Cc1csc(CN)n1,Cc1csc(CNC(=O)CCn2cnc3ccccc32)n1,Amidation,,,
C13206,1,,,,OCCOCCN1CCNCC1,CC(C)(C(=O)O)c1c[nH]cn1,CC(C)(C(=O)N1CCN(CCOCCO)CC1)c1c[nH]cn1,Amidation,,,
C3418,1,,,,O=C(O)CCc1ccncn1,Cc1cc(N)cn2ccnc12,Cc1cc(NC(=O)CCc2ccncn2)cn2ccnc12,Amidation,,,
C2977,1,,,,Nc1cccnc1C1CC1,COCC(=O)O,COCC(=O)Nc1cccnc1C1CC1,Amidation,,,
C5811,1,,,,COc1ccc2cccnc2c1CN,O=S(=O)(Cl)c1ccccn1,COc1ccc2cccnc2c1CNS(=O)(=O)c1ccccn1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,
C12880,1,,,,O=C(O)c1cccs1,Nc1ccc(Cl)c2ncccc12,O=C(Nc1ccc(Cl)c2ncccc12)c1cccs1,Amidation,,,
C9828,1,,,,Nc1c[nH]cn1,CCC(=O)O,CCC(=O)Nc1cnc[nH]1,Amidation,,,
C5763,1,,,,O=C(O)c1cccc2ncccc12,NC(=O)C(N)c1ccccn1,NC(=O)C(NC(=O)c1cccc2ncccc12)c1ccccn1,Amidation,,,
C15459,1,,,,CN(C)CCn1c(=O)[nH]c2ccc(C(=O)O)cc21,NCc1ncc[nH]1,CN(C)CCn1c(=O)[nH]c2ccc(C(=O)NCc3ncc[nH]3)cc21,Amidation,,,
C2771,1,,,,O=[N+]([O-])c1ccc2c(c1)CNC2,CC(C)CC(C(=O)O)n1ccnc1,CC(C)CC(C(=O)N1Cc2ccc([N+](=O)[O-])cc2C1)n1ccnc1,Amidation,,,
C6746,1,,,,Clc1nccc(-n2cccn2)n1,CC(C)(CN)OC(F)F,CC(C)(CNc1nccc(-n2cccn2)n1)OC(F)F,N-nucleophilic_aromatic_substitution,,,
C2295,1,,,,CC(=O)NCC1CCCNC1,O=C1NCC(C(=O)O)n2nccc21,CC(=O)NCC1CCCN(C(=O)C2CNC(=O)c3ccnn32)C1,Amidation,,,
C6774,1,,,,CC(CN)n1cccn1,O=C(O)c1cnc(C2CCCN2)nc1,CC(CNC(=O)c1cnc(C2CCCN2)nc1)n1cccn1,Amidation,,,
C3197,1,,,,O=[N+]([O-])c1ccc2c(c1)CNC2,O=S(=O)(Cl)Cc1cscn1,O=[N+]([O-])c1ccc2c(c1)CN(S(=O)(=O)Cc1cscn1)C2,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,
C8907,1,,,,NCCNc1ccccn1,CC(C)(C)OC(=O)c1csc(C2CCNCC2)n1,O=C(NCCNc1ccccn1)c1csc(C2CCNCC2)n1,Ester_amidation,,,
C626,1,,,,CC(CN)c1ccncc1,COCc1ccc(Br)nc1,COCc1ccc(NCC(C)c2ccncc2)nc1,N-nucleophilic_aromatic_substitution,,,
C3739,1,,,,NCc1ccnc(C2CC2)c1,O=C(O)C(=O)Nc1ncc[nH]1,O=C(NCc1ccnc(C2CC2)c1)C(=O)Nc1ncc[nH]1,Amidation,,,
C7133,1,,,,OCc1cnn2c1CNCC2,O=C(O)CSCc1ncc[nH]1,O=C(CSCc1ncc[nH]1)N1CCn2ncc(CO)c2C1,Amidation,,,
C5852,1,,,,COCCC(N)c1cccnc1,O=C(O)c1ccc(Cl)cn1,COCCC(NC(=O)c1ccc(Cl)cn1)c1cccnc1,Amidation,,,
C13977,1,,,,O=C(O)c1cnc(-c2ccccn2)nc1,NCCCC(=O)O,O=C(O)CCCNC(=O)c1cnc(-c2ccccn2)nc1,Amidation,,,
C13195,1,,,,CSCCCC(=O)O,CN1CCNCC1c1ncc[nH]1,CSCCCC(=O)N1CCN(C)C(c2ncc[nH]2)C1,Amidation,,,
C10351,1,,,,COc1ccc2cccnc2c1C(=O)O,CCC(O)c1cccnc1,CCC(OC(=O)c1c(OC)ccc2cccnc12)c1cccnc1,Steglich_esterification,,,
C15515,1,,,,NCCn1c(=O)[nH]c2ccccc21,Brc1c[nH]cn1,O=c1[nH]c2ccccc2n1CCNS(=O)(=O)c1c[nH]cn1,Formation_of_sulfonamide_from_halide_-_Shavnya_reaction,,,
C15530,1,,,,CC(=O)O,NCC1CCNC(=O)C1,CC(=O)NCC1CCNC(=O)C1,Amidation,,,
C14578,1,,,,Clc1ccc2c(c1)CNC2,O=C(O)c1ccncn1,O=C(c1ccncn1)N1Cc2ccc(Cl)cc2C1,Amidation,,,
C5939,1,,,,CCNCc1cccnc1,COc1ccn2c(C(=O)O)cnc2c1,CCN(Cc1cccnc1)C(=O)c1cnc2cc(OC)ccn12,Amidation,,,
C64802,1,,,,O=C(O)c1cccc2cn[nH]c12,Nc1nc(-c2cnco2)cs1,O=C(Nc1nc(-c2cnco2)cs1)c1cccc2cn[nH]c12,Amidation,,,
C65714,1,,,,O=C(O)c1csc2nccn12,CCOC(C)c1nc(CNC)cs1,CCOC(C)c1nc(CN(C)C(=O)c2csc3nccn23)cs1,Amidation,,,
