id,smiles,tags
142787,CCN1Cc2ccc(NC(=O)c3ccc(C)c4c(C#N)c[nH]c34)cc2C1=O,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142788,Cc1ccc(C(=O)Nc2ccc3c(c2)CN(C)C3(C)C)c2[nH]cc(C#N)c12,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142789,Cc1ccc(C(=O)Nc2cc3c(cc2Br)CN(C=O)C3)c2[nH]cc(C#N)c12,"{'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs'}"
142790,CCN1Cc2cc(NC(=O)c3ccc(C)c4c(C#N)c[nH]c34)ccc2C1=O,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142791,Cc1ccc(C(=O)Nc2ccc3c(c2)CN(CC(F)F)C3)c2[nH]cc(C#N)c12,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142792,Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(C(C)C)C3)c2[nH]cc(C#N)c12,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142793,Cc1ccc(C(=O)Nc2ccc3c(c2)CN(CC(F)(F)F)C3)c2[nH]cc(C#N)c12,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142794,COCN1C(=O)c2ccc(NC(=O)c3ccc(C)c4c(C#N)c[nH]c34)cc2C1=O,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142795,CCOCCCN1Cc2ccc(NC(=O)c3ccc(C)c4c(C#N)c[nH]c34)cc2C1,"{'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs'}"
142796,Cc1ccc(C(=O)N2Cc3ccc(NC(=O)OC(C)(C)C)cc3C2)c2[nH]cc(C#N)c12,"{'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs'}"
142797,Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)c2[nH]cc(C#N)c12,"{'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs'}"
142798,Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(C2CCCNC2=O)C3=O)c2[nH]cc(C#N)c12,"{'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs'}"
142799,Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(c2ccc(F)cc2)C3=O)c2[nH]cc(C#N)c12,"{'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs'}"
142800,Cc1ccc(C(=O)Nc2ccc3c(c2)CN(C2CC(F)CNC2=O)C3=O)c2[nH]cc(C#N)c12,"{'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs'}"
142801,Cc1ccc(C(=O)Nc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)c2[nH]cc(C#N)c12,"{'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs'}"
142802,O=C(c1ccc2c(c1)C1(CCOCC1)C(=O)N2)N1Cc2ccc(NC(=O)C(F)(F)F)cc2C1,"{'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs'}"
142804,O=C(Nc1ccc2c(c1)CNC2=O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142805,O=C(Nc1ccc2c(c1)C(=O)NC2)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142806,CN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1=O,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142807,CN1Cc2ccc(N(C)C(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,"{'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs'}"
142808,O=C(Nc1cc2c(cc1F)CNC2=O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142809,CN1Cc2cc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)ccc2C1=O,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142810,O=C(Nc1ccc2c(c1)C(=O)NC2=O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142811,CN1C(=O)c2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1=O,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142812,CN1Cc2cc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)ccc2C1(C)C,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142813,CC(=O)Nc1ccc2c(c1)CN(C(=O)c1ccc3c(c1)C1(CCOCC1)C(=O)N3)C2,"{'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs'}"
142814,COCCCN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142815,CCCC(C)N1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
142816,CC(C)CCN1Cc2ccc(NC(=O)c3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc2C1,"{'openbind_xx01zvns2b_c1_elabs_filtered', 'openbind_xx01zvns2b_c1_elabs', 'openbind_xx01zvns2b_c2_elabs', 'xx01zvns2b_c1_elab_bulkdock_input', 'syndirella_product'}"
