id,smiles,soaks,hits,openbind_xx01zvns2b_c1_fragmenstein,openbind_xx01zvns2b_c1_elaborated_scaffolds,openbind_xx01zvns2b_c1_scaffolds,openbind_xx01zvns2b_c1_knitwork_pure,openbind_xx01zvns2b_c1_knitwork_impure,openbind_xx01zvns2b_c2_hit_analogues_85percent,C18 85percent analogue,C86 85percent analogue,C86 90percent analogue,openbind_xx01zvns2b_c2_hit_analogues_90percent,openbind_xx01zvns2b_c2_elabs,syndirella_product,C16 85percent analogue,C77 85percent analogue,C72 85percent analogue,C171 85percent analogue,C127 85percent analogue,C173 85percent analogue,C83 85percent analogue,C17 85percent analogue,C48 85percent analogue,C7 85percent analogue,C75 85percent analogue,C51 85percent analogue,C52 85percent analogue,C51 90percent analogue,openbind_xx01zvns2b_c2_hit_analogues_95percent,C51 95percent analogue,C73 85percent analogue,C28 85percent analogue,C28 90percent analogue,C45 85percent analogue,C73 90percent analogue,C9 85percent analogue,C43 85percent analogue,C108 85percent analogue,C71 85percent analogue,C108 90percent analogue,C25 85percent analogue,C38 85percent analogue,C150 85percent analogue,C151 85percent analogue,C82 90percent analogue,C84 85percent analogue,C82 85percent analogue,C83 90percent analogue,C39 85percent analogue,C10 85percent analogue
122837,NC(=O)C(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122878,ClCC1CCNCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122932,CC(C)OCC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123008,O=C(O)c1cc(F)cc2n[nH]cc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123049,O=C(O)c1cc(F)cc2[nH]nnc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123114,O=C(O)C(F)(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123167,COc1cc(B2OC(C)(C)C(C)(C)O2)ccn1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123175,O=Cc1ccc(Br)cc1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123185,CC(C)(C)OC(=O)N1Cc2ccc(N)cc2C1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123230,Nc1ccc(C2CNC2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123246,Cc1ccnc(N)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123257,NCc1cccc(NC(=O)c2cc(Cl)cc(Cl)c2)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123466,Cn1cc(N)cn1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123481,CN1CCC(B2OC(C)(C)C(C)(C)O2)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123499,O=C(O)c1cc(Cl)[nH]c2nccc1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123505,COCBr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123507,O=C(O)c1cc(Br)cc2[nH]c(=O)[nH]c12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123570,Cn1cc2c(C(=O)O)cc(F)cc2n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123647,Cn1cc(NC(=O)c2ccccc2Br)cn1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123668,CC(Br)CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123714,Nc1ccc2c(c1)CNC2=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123824,Cc1cc(N)cc(CNC(=O)OC(C)(C)C)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123878,COc1ccc(B2OC(C)(C)C(C)(C)O2)cn1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123891,Nc1ccc2c(c1)CN(CC(F)F)C2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123935,Cc1nc2cc(Cl)cc(C(=O)O)c2[nH]1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
